Element 1: (3, (17, 5), ['.', 'G', '.', '%'], [(17, 4), (4, 12), (13, 4)], [False, False, False, True], 98, False, [True, False, True, False], 29, 'North', (17, 6))
Element 35: (3, (15, 11), ['%', '', '', ''], [(17, 12), (9, 13), (12, 11)], [True, False, False, False], 30, False, [False, False, False, False], 1685, 'South', (15, 10))
Element 36: (3, (15, 10), ['%', '', '', ''], [(17, 11), (9, 12), (13, 11)], [True, False, False, False], 28, False, [False, False, False, False], 1684, 'North', (15, 11))
Element 37: (3, (15, 11), ['%', '', '', ''], [(17, 10), (8, 12), (12, 11)], [True, False, False, False], 26, False, [False, False, False, False], 1693, 'North', (15, 12))
Element 38: (3, (15, 12), ['', '', '%', ''], [(16, 10), (9, 12), (11, 11)], [False, False, True, False], 24, False, [False, False, False, False], 1692, 'West', (14, 12))
Element 39: (3, (14, 12), ['%', '%', '', ''], [(16, 11), (10, 12), (10, 11)], [True, True, False, False], 22, False, [False, False, False, False], 1691, 'North', (14, 13))
Element 40: (3, (14, 13), ['', '', '%', '%'], [(16, 12), (11, 12), (10, 12)], [False, False, True, True], 20, False, [False, False, False, False], 1690, 'West', (13, 13))
Element 41: (3, (13, 13), ['', '%', '%', ''], [(16, 13), (11, 11), (9, 12)], [False, True, True, False], 18, False, [False, False, False, False], 1689, 'West', (12, 13))
Element 42: (3, (12, 13), ['', '%', '%', ''], [(16, 12), (10, 11), (9, 13)], [False, True, True, False], 16, False, [False, False, False, False], 1688, 'West', (11, 13))
Element 43: (3, (11, 13), ['%', '', '%', ''], [(15, 12), (10, 12), (9, 12)], [True, False, True, False], 14, False, [False, False, False, False], 1687, 'South', (11, 12))
Element 44: (3, (11, 12), ['', '', '', '%'], [(15, 11), (10, 11), (9, 11)], [False, False, False, True], 12, False, [False, False, False, False], 1686, 'South', (11, 11))
Element 45: (3, (11, 11), ['', '%', '', ''], [(15, 10), (10, 12), (9, 10)], [False, True, False, False], 10, False, [False, False, False, False], 1685, 'East', (12, 11))
Element 46: (3, (12, 11), ['', '%', '%', ''], [(15, 11), (9, 12), (8, 10)], [False, True, True, False], 8, False, [False, False, False, False], 1684, 'East', (13, 11))
Element 47: (3, (13, 11), ['', '%', '%', '%'], [(15, 12), (9, 11), (7, 10)], [False, True, True, True], 6, False, [False, False, False, False], 1683, 'West', (12, 11))
Element 48: (3, (12, 11), ['', '%', '%', ''], [(14, 12), (9, 10), (6, 10)], [False, True, True, False], 4, False, [False, False, False, False], 1692, 'West', (11, 11))
Element 49: (3, (11, 11), ['', '%', '', ''], [(14, 13), (8, 10), (5, 10)], [False, True, False, False], 2, False, [False, False, False, False], 1701, 'West', (10, 11))
Element 50: (3, (10, 11), ['', '%', '', ''], [(14, 13), (8, 10), (5, 10)], [False, True, False, False], 0, False, [False, False, False, False], 1700, 'Stop', (10, 11))
Element 51: #0#
