Element 1: (2, (2, 1), ['', '%', '.', '.'], [(15, 7), (1, 2), (17, 4)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'East', (3, 1))
Element 35: (2, (2, 2), ['', '', '%', ''], [(18, 12), (1, 1), (16, 7)], [False, False, True, False], 30, False, [False, False, False, False], 2525, 'East', (3, 2))
Element 36: (2, (3, 2), ['', '', '%', ''], [(18, 13), (1, 2), (15, 7)], [False, False, True, False], 28, False, [False, False, False, False], 2534, 'East', (4, 2))
Element 37: (2, (4, 2), ['', '', '%', ''], [(17, 13), (1, 1), (14, 7)], [False, False, True, False], 26, False, [False, False, False, False], 2543, 'South', (4, 1))
Element 38: (2, (4, 1), ['', '%', '', '%'], [(17, 12), (1, 1), (14, 6)], [False, True, False, True], 24, False, [False, False, False, False], 2552, 'West', (3, 1))
Element 39: (2, (3, 1), ['G', '%', '', ''], [(17, 11), (2, 1), (13, 6)], [False, True, False, False], 22, False, [False, False, False, False], 2561, 'North', (3, 2))
Element 40: (2, (3, 2), ['', 'G', '%', ''], [(17, 10), (3, 1), (13, 7)], [False, False, True, False], 20, False, [False, False, False, False], 2570, 'West', (2, 2))
Element 41: (2, (2, 2), ['', '', '%', ''], [(16, 10), (4, 1), (13, 8)], [False, False, True, False], 18, False, [False, False, False, False], 2579, 'South', (2, 1))
Element 42: (2, (2, 1), ['', '%', '', ''], [(16, 11), (4, 2), (12, 8)], [False, True, False, False], 16, False, [False, False, False, False], 2598, 'North', (2, 2))
Element 43: (2, (2, 2), ['', '', '%', ''], [(16, 12), (5, 2), (12, 9)], [False, False, True, False], 14, False, [False, False, False, False], 2617, 'South', (2, 1))
Element 44: (2, (2, 1), ['', '%', '', ''], [(16, 13), (4, 2), (11, 9)], [False, True, False, False], 12, False, [False, False, False, False], 2636, 'West', (1, 1))
Element 45: (2, (1, 1), ['%', '%', '', ''], [(16, 12), (3, 2), (12, 9)], [True, True, False, False], 10, False, [False, False, False, False], 2635, 'East', (2, 1))
Element 46: (2, (2, 1), ['', '%', 'G', ''], [(15, 12), (2, 2), (13, 9)], [False, True, False, False], 8, False, [False, False, False, False], 2644, 'Stop', (2, 1))
Element 47: (2, (2, 1), ['', '%', '', ''], [(15, 11), (1, 2), (14, 9)], [False, True, False, False], 6, False, [False, False, False, False], 2653, 'East', (3, 1))
Element 48: (2, (3, 1), ['', '%', '', ''], [(15, 10), (2, 2), (15, 9)], [False, True, False, False], 4, False, [False, False, False, False], 2662, 'East', (4, 1))
Element 49: (2, (4, 1), ['', '%', '', '%'], [(15, 11), (3, 2), (16, 9)], [False, True, False, True], 2, False, [False, False, False, False], 2661, 'North', (4, 2))
Element 50: (2, (4, 2), ['G', '', '%', ''], [(15, 11), (3, 2), (17, 9)], [False, False, True, False], 0, False, [False, False, False, False], 2660, 'Stop', (4, 2))
Element 51: #0#
