Element 1: (2, (18, 9), ['.', '.', 'G', '%'], [(18, 12), (7, 10), (18, 10)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'South', (18, 8))
Element 27: (2, (18, 1), ['', '%', '%', '%'], [(11, 13), (18, 11), (17, 9)], [False, True, True, True], 46, False, [False, False, False, False], 463, 'West', (17, 1))
Element 28: (2, (17, 1), ['.', '%', '', ''], [(11, 12), (18, 10), (17, 8)], [False, True, False, False], 44, False, [True, False, False, False], 462, 'West', (16, 1))
Element 29: (2, (16, 1), ['.', '%', '.', ''], [(10, 12), (18, 9), (17, 9)], [False, True, False, False], 42, False, [True, False, True, False], 481, 'North', (16, 2))
Element 30: (2, (16, 2), ['.', '', '.', ''], [(9, 12), (18, 8), (16, 9)], [False, False, False, False], 40, False, [True, False, True, False], 500, 'North', (16, 3))
Element 31: (2, (16, 3), ['.', '', '.', ''], [(9, 13), (17, 8), (15, 9)], [False, False, False, False], 38, False, [True, False, True, False], 519, 'North', (16, 4))
Element 32: (2, (16, 4), ['%', '', '.', ''], [(9, 12), (17, 9), (14, 9)], [True, False, False, False], 36, False, [False, False, True, False], 528, 'North', (16, 5))
Element 33: (2, (16, 5), ['.', '', '', ''], [(8, 12), (17, 10), (13, 9)], [False, False, False, False], 34, False, [True, False, False, False], 547, 'West', (15, 5))
Element 34: (2, (15, 5), ['.', '%', '.', ''], [(9, 12), (17, 11), (12, 9)], [False, True, False, False], 32, False, [True, False, True, False], 566, 'North', (15, 6))
Element 35: (2, (15, 6), ['.', '', '', ''], [(9, 11), (16, 11), (12, 8)], [False, False, False, False], 30, False, [True, False, False, False], 585, 'West', (14, 6))
Element 36: (2, (14, 6), ['.', '.', '', ''], [(10, 11), (16, 10), (12, 7)], [False, False, False, False], 28, False, [True, True, False, False], 604, 'South', (14, 5))
Element 37: (2, (14, 5), ['.', '.', '', ''], [(11, 11), (16, 9), (12, 6)], [False, False, False, False], 26, False, [True, True, False, False], 1613, 'South', (14, 4))
Element 38: (2, (14, 4), ['.', '.', '', '%'], [(12, 11), (15, 9), (13, 6)], [False, False, False, True], 24, False, [True, True, False, False], 1632, 'South', (14, 3))
Element 39: (2, (14, 3), ['.', '%', '', '.'], [(13, 11), (15, 10), (13, 5)], [False, True, False, False], 22, False, [True, False, False, True], 1651, 'East', (15, 3))
Element 40: (2, (15, 3), ['', '.', '%', ''], [(12, 11), (15, 11), (13, 4)], [False, False, True, False], 20, False, [False, True, False, False], 1670, 'South', (15, 2))
Element 41: (2, (15, 2), ['%', '.', '', ''], [(11, 11), (15, 10), (13, 3)], [True, False, False, False], 18, False, [False, True, False, False], 1689, 'South', (15, 1))
Element 42: (2, (15, 1), ['.', '%', '', ''], [(10, 11), (15, 9), (12, 3)], [False, True, False, False], 16, False, [True, False, False, False], 1708, 'West', (14, 1))
Element 43: (2, (14, 1), ['.', '%', '%', ''], [(9, 11), (14, 9), (12, 4)], [False, True, True, False], 14, False, [True, False, False, False], 1727, 'West', (13, 1))
Element 44: (2, (13, 1), ['.', '%', '%', ''], [(9, 10), (13, 9), (11, 4)], [False, True, True, False], 12, False, [True, False, False, False], 1746, 'West', (12, 1))
Element 45: (2, (12, 1), ['.', '%', '%', ''], [(8, 10), (13, 8), (11, 3)], [False, True, True, False], 10, False, [True, False, False, False], 1765, 'West', (11, 1))
Element 46: (2, (11, 1), ['F', '%', 'G', ''], [(7, 10), (13, 7), (11, 2)], [False, True, False, False], 8, False, [False, False, False, False], 1784, 'West', (10, 1))
Element 47: (2, (10, 1), ['.', '%', 'G', ''], [(7, 11), (14, 7), (10, 2)], [False, True, False, False], 6, False, [True, False, False, False], 2803, 'West', (9, 1))
Element 48: (2, (9, 1), ['.', '%', '%', 'G'], [(6, 11), (15, 7), (10, 1)], [False, True, True, False], 4, False, [True, False, False, False], 2822, 'West', (8, 1))
Element 49: (2, (8, 1), ['.', '%', '%', ''], [(6, 12), (16, 7), (11, 1)], [False, True, True, False], 2, False, [True, False, False, False], 2841, 'West', (7, 1))
Element 50: (2, (7, 1), ['.', '%', '%', ''], [(6, 12), (16, 7), (12, 1)], [False, True, True, False], 0, False, [True, False, False, False], 2850, 'Stop', (7, 1))
Element 51: #0#
