Element 1: (0, (7, 10), ['.', '%', '.', 'G'], [(2, 2), (8, 10), (9, 4)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'North', (7, 11))
Element 28: (0, (4, 12), ['', '%', '%', ''], [(4, 2), (17, 10), (18, 8)], [False, True, True, False], 44, False, [False, False, False, False], 703, 'East', (5, 12))
Element 29: (0, (5, 12), ['', '', '', ''], [(4, 1), (17, 11), (17, 8)], [False, False, False, False], 42, False, [False, False, False, False], 722, 'North', (5, 13))
Element 30: (0, (5, 13), ['%', '', '%', ''], [(3, 1), (16, 11), (18, 8)], [True, False, True, False], 40, False, [False, False, False, False], 731, 'East', (6, 13))
Element 31: (0, (6, 13), ['', '', '%', ''], [(2, 1), (16, 10), (18, 9)], [False, False, True, False], 38, False, [False, False, False, False], 740, 'South', (6, 12))
Element 32: (0, (6, 12), ['', '', '', '%'], [(1, 1), (15, 10), (18, 10)], [False, False, False, True], 36, False, [False, False, False, False], 749, 'West', (5, 12))
Element 33: (0, (5, 12), ['', '', '', ''], [(1, 2), (15, 11), (18, 11)], [False, False, False, False], 34, False, [False, False, False, False], 758, 'East', (6, 12))
Element 34: (0, (6, 12), ['', '', '', '%'], [(1, 1), (15, 10), (18, 12)], [False, False, False, True], 32, False, [False, False, False, False], 757, 'South', (6, 11))
Element 35: (0, (6, 11), ['', '', '', ''], [(2, 1), (15, 9), (18, 13)], [False, False, False, False], 30, False, [False, False, False, False], 756, 'South', (6, 10))
Element 36: (0, (6, 10), ['', '%', '', ''], [(3, 1), (16, 9), (17, 13)], [False, True, False, False], 28, False, [False, False, False, False], 755, 'North', (6, 11))
Element 37: (0, (6, 11), ['', '', '', ''], [(4, 1), (17, 9), (17, 12)], [False, False, False, False], 26, False, [False, False, False, False], 754, 'West', (5, 11))
Element 38: (0, (5, 11), ['%', '', '', ''], [(4, 2), (18, 9), (17, 11)], [True, False, False, False], 24, False, [False, False, False, False], 753, 'East', (6, 11))
Element 39: (0, (6, 11), ['', '', '', ''], [(3, 2), (18, 8), (17, 10)], [False, False, False, False], 22, False, [False, False, False, False], 752, 'East', (7, 11))
Element 40: (0, (7, 11), ['', '', '%', '%'], [(3, 1), (17, 8), (16, 10)], [False, False, True, True], 20, False, [False, False, False, False], 751, 'South', (7, 10))
Element 41: (0, (7, 10), ['', '%', '', ''], [(3, 2), (18, 8), (16, 11)], [False, True, False, False], 18, False, [False, False, False, False], 750, 'West', (6, 10))
Element 42: (0, (6, 10), ['', '%', '', ''], [(2, 2), (18, 9), (16, 12)], [False, True, False, False], 16, False, [False, False, False, False], 749, 'East', (7, 10))
Element 43: (0, (7, 10), ['', '%', '', ''], [(2, 1), (17, 9), (16, 13)], [False, True, False, False], 14, False, [False, False, False, False], 748, 'Stop', (7, 10))
Element 44: (0, (7, 10), ['', '%', '', ''], [(2, 2), (17, 8), (16, 12)], [False, True, False, False], 12, False, [False, False, False, False], 747, 'East', (8, 10))
Element 45: (0, (8, 10), ['', '%', '%', ''], [(1, 2), (17, 9), (15, 12)], [False, True, True, False], 10, False, [False, False, False, False], 746, 'East', (9, 10))
Element 46: (0, (9, 10), ['', '%', '', '%'], [(2, 2), (16, 9), (15, 11)], [False, True, False, True], 8, False, [False, False, False, False], 745, 'North', (9, 11))
Element 47: (0, (9, 11), ['%', '', '.', ''], [(2, 2), (15, 9), (15, 10)], [True, False, False, False], 6, False, [False, False, True, False], 744, 'North', (9, 12))
Element 48: (0, (9, 12), ['.', '', '.', '.'], [(3, 2), (14, 9), (15, 11)], [False, False, False, False], 4, False, [True, False, True, True], 753, 'East', (10, 12))
Element 49: (0, (10, 12), ['', '', '%', ''], [(4, 2), (13, 9), (15, 12)], [False, False, True, False], 2, False, [False, False, False, False], 762, 'East', (11, 12))
Element 50: (0, (11, 12), ['', '', '', '%'], [(5, 2), (12, 9), (14, 12)], [False, False, False, True], 0, False, [False, False, False, False], 771, 'Stop', (11, 12))
Element 51: #0#
