Element 1: (0, (9, 1), ['.', '%', '%', 'F'], [(1, 5), (4, 12), (16, 9)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'East', (10, 1))
Element 15: (0, (18, 4), ['', '%', '%', '%'], [(1, 5), (9, 11), (16, 13)], [False, True, True, True], 70, False, [False, False, False, False], 1386, 'West', (17, 4))
Element 16: (0, (17, 4), ['.', '', '.', ''], [(2, 5), (10, 11), (16, 12)], [False, False, False, False], 68, False, [True, False, True, False], 1395, 'North', (17, 5))
Element 17: (0, (17, 5), ['.', '', '.', '%'], [(3, 5), (11, 11), (15, 12)], [False, False, False, True], 66, False, [True, False, True, False], 1424, 'North', (17, 6))
Element 18: (0, (17, 6), ['.', '', '%', '.'], [(4, 5), (12, 11), (15, 11)], [False, False, True, False], 64, False, [True, False, False, True], 1453, 'East', (18, 6))
Element 19: (0, (18, 6), ['', '%', '%', '%'], [(3, 5), (13, 11), (15, 10)], [False, True, True, True], 62, False, [False, False, False, False], 1482, 'West', (17, 6))
Element 20: (0, (17, 6), ['.', '', '%', ''], [(2, 5), (12, 11), (15, 9)], [False, False, True, False], 60, False, [True, False, False, False], 1491, 'West', (16, 6))
Element 21: (0, (16, 6), ['.', '.', '.', ''], [(1, 5), (11, 11), (14, 9)], [False, False, False, False], 58, False, [True, True, True, False], 1510, 'North', (16, 7))
Element 22: (0, (16, 7), ['.', '', '%', '%'], [(1, 5), (11, 12), (13, 9)], [False, False, True, True], 56, False, [True, False, False, False], 1539, 'West', (15, 7))
Element 23: (0, (15, 7), ['.', '.', '%', ''], [(2, 5), (11, 13), (13, 8)], [False, False, True, False], 54, False, [True, True, False, False], 1568, 'South', (15, 6))
Element 24: (0, (15, 6), ['.', '.', '', ''], [(3, 5), (12, 13), (13, 7)], [False, False, False, False], 52, False, [True, True, False, False], 1597, 'South', (15, 5))
Element 25: (0, (15, 5), ['.', '%', '', '.'], [(4, 5), (13, 13), (14, 7)], [False, True, False, False], 50, False, [True, False, False, True], 1626, 'East', (16, 5))
Element 26: (0, (16, 5), ['', '.', '', ''], [(3, 5), (14, 13), (14, 6)], [False, False, False, False], 48, False, [False, True, False, False], 1655, 'South', (16, 4))
Element 27: (0, (16, 4), ['%', '.', '', ''], [(2, 5), (14, 12), (14, 5)], [True, False, False, False], 46, False, [False, True, False, False], 1684, 'South', (16, 3))
Element 28: (0, (16, 3), ['.', '.', '', ''], [(1, 5), (15, 12), (14, 4)], [False, False, False, False], 44, False, [True, True, False, False], 1703, 'South', (16, 2))
Element 29: (0, (16, 2), ['.', '', '', ''], [(1, 5), (16, 12), (14, 3)], [False, False, False, False], 42, False, [True, False, False, False], 1722, 'West', (15, 2))
Element 30: (0, (15, 2), ['%', '', 'G', ''], [(2, 5), (17, 12), (15, 3)], [True, False, False, False], 40, False, [False, False, False, False], 1741, 'East', (16, 2))
Element 31: (0, (16, 2), ['', '', 'G', ''], [(3, 5), (18, 12), (16, 3)], [False, False, False, False], 38, False, [False, False, False, False], 1740, 'West', (15, 2))
Element 32: (0, (15, 2), ['%', '', '', ''], [(4, 5), (18, 13), (17, 3)], [True, False, False, False], 36, False, [False, False, False, False], 1739, 'North', (15, 3))
Element 33: (0, (15, 3), ['', '', '%', ''], [(3, 5), (17, 13), (17, 4)], [False, False, True, False], 34, False, [False, False, False, False], 1738, 'West', (14, 3))
Element 34: (0, (14, 3), ['.', '%', '', ''], [(2, 5), (16, 13), (18, 4)], [False, True, False, False], 32, False, [True, False, False, False], 1737, 'West', (13, 3))
Element 35: (0, (13, 3), ['.', '%', '.', ''], [(1, 5), (17, 13), (17, 4)], [False, True, False, False], 30, False, [True, False, True, False], 1746, 'North', (13, 4))
Element 36: (0, (13, 4), ['.', '', '.', ''], [(1, 5), (18, 13), (17, 5)], [False, False, False, False], 28, False, [True, False, True, False], 1755, 'North', (13, 5))
Element 37: (0, (13, 5), ['%', '', '.', ''], [(2, 5), (18, 12), (17, 6)], [True, False, False, False], 26, False, [False, False, True, False], 1764, 'North', (13, 6))
Element 38: (0, (13, 6), ['F', '', '', ''], [(3, 5), (18, 11), (18, 6)], [False, False, False, False], 24, False, [False, False, False, False], 1773, 'West', (12, 6))
Element 39: (0, (12, 6), ['.', '%', '.', ''], [(4, 5), (18, 10), (17, 6)], [False, True, False, False], 22, False, [True, False, True, False], 2772, 'North', (12, 7))
Element 40: (0, (12, 7), ['.', '', '.', ''], [(3, 5), (18, 9), (16, 6)], [False, False, False, False], 20, False, [True, False, True, False], 2781, 'North', (12, 8))
Element 41: (0, (12, 8), ['%', '', '.', ''], [(2, 5), (18, 8), (16, 7)], [True, False, False, False], 18, False, [False, False, True, False], 2800, 'North', (12, 9))
Element 42: (0, (12, 9), ['.', '', '%', ''], [(1, 5), (17, 8), (15, 7)], [False, False, True, False], 16, False, [True, False, False, False], 2819, 'West', (11, 9))
Element 43: (0, (11, 9), ['%', '%', '%', ''], [(1, 5), (17, 9), (15, 6)], [True, True, True, False], 14, False, [False, False, False, False], 2828, 'East', (12, 9))
Element 44: (0, (12, 9), ['', '', '%', ''], [(2, 5), (17, 10), (15, 5)], [False, False, True, False], 12, False, [False, False, False, False], 2827, 'East', (13, 9))
Element 45: (0, (13, 9), ['', '', '%', ''], [(3, 5), (17, 11), (16, 5)], [False, False, True, False], 10, False, [False, False, False, False], 2826, 'East', (14, 9))
Element 46: (0, (14, 9), ['', '%', '%', ''], [(4, 5), (16, 11), (16, 4)], [False, True, True, False], 8, False, [False, False, False, False], 2825, 'East', (15, 9))
Element 47: (0, (15, 9), ['', '%', '', ''], [(3, 5), (16, 10), (16, 5)], [False, True, False, False], 6, False, [False, False, False, False], 2824, 'East', (16, 9))
Element 48: (0, (16, 9), ['', '%', '', ''], [(2, 5), (15, 10), (15, 5)], [False, True, False, False], 4, False, [False, False, False, False], 2823, 'East', (17, 9))
Element 49: (0, (17, 9), ['', '', '', ''], [(1, 5), (15, 11), (15, 6)], [False, False, False, False], 2, False, [False, False, False, False], 2822, 'East', (18, 9))
Element 50: (0, (18, 9), ['', '', '', '%'], [(1, 5), (15, 10), (15, 7)], [False, False, False, True], 0, False, [False, False, False, False], 2821, 'Stop', (18, 9))
Element 51: #0#
