Element 1: (1, (1, 10), ['%', '%', 'F', '.'], [(5, 12), (3, 5), (17, 5)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'North', (1, 11))
Element 13: (1, (9, 12), ['', '%', '.', ''], [(16, 13), (1, 7), (17, 7)], [False, True, False, False], 74, False, [False, False, True, False], 4397, 'North', (9, 13))
Element 14: (1, (9, 13), ['%', '', '%', '.'], [(17, 13), (1, 6), (17, 6)], [True, False, True, False], 72, False, [False, False, False, True], 4426, 'East', (10, 13))
Element 15: (1, (10, 13), ['', '', '%', '%'], [(18, 13), (2, 6), (16, 6)], [False, False, True, True], 70, False, [False, False, False, False], 4455, 'South', (10, 12))
Element 16: (1, (10, 12), ['', '%', '', ''], [(18, 12), (2, 5), (15, 6)], [False, True, False, False], 68, False, [False, False, False, False], 4484, 'East', (11, 12))
Element 17: (1, (11, 12), ['', '%', '%', ''], [(18, 11), (2, 4), (15, 7)], [False, True, True, False], 66, False, [False, False, False, False], 4513, 'East', (12, 12))
Element 18: (1, (12, 12), ['', '.', '.', ''], [(18, 10), (3, 4), (15, 8)], [False, False, False, False], 64, False, [False, True, True, False], 4542, 'North', (12, 13))
Element 19: (1, (12, 13), ['%', '', '%', ''], [(17, 10), (4, 4), (14, 8)], [True, False, True, False], 62, False, [False, False, False, False], 4581, 'East', (13, 13))
Element 20: (1, (13, 13), ['', '', '%', ''], [(17, 11), (4, 3), (14, 7)], [False, False, True, False], 60, False, [False, False, False, False], 4610, 'East', (14, 13))
Element 21: (1, (14, 13), ['', '%', '%', ''], [(17, 12), (5, 3), (14, 8)], [False, True, True, False], 58, False, [False, False, False, False], 4629, 'East', (15, 13))
Element 22: (1, (15, 13), ['', '.', '%', ''], [(16, 12), (6, 3), (13, 8)], [False, False, True, False], 56, False, [False, True, False, False], 4658, 'South', (15, 12))
Element 23: (1, (15, 12), ['%', '%', '', ''], [(16, 11), (7, 3), (14, 8)], [True, True, False, False], 54, False, [False, False, False, False], 4687, 'East', (16, 12))
Element 24: (1, (16, 12), ['', '', '', ''], [(16, 10), (8, 3), (15, 8)], [False, False, False, False], 52, False, [False, False, False, False], 4706, 'East', (17, 12))
Element 25: (1, (17, 12), ['', '', '', ''], [(16, 9), (9, 3), (15, 7)], [False, False, False, False], 50, False, [False, False, False, False], 4725, 'East', (18, 12))
Element 26: (1, (18, 12), ['', '', '', '%'], [(17, 9), (9, 2), (14, 7)], [False, False, False, True], 48, False, [False, False, False, False], 5734, 'North', (18, 13))
Element 27: (1, (18, 13), ['', '', '%', '%'], [(16, 9), (10, 2), (15, 7)], [False, False, True, True], 46, False, [False, False, False, False], 5743, 'West', (17, 13))
Element 28: (1, (17, 13), ['', '', '%', ''], [(16, 10), (11, 2), (15, 6)], [False, False, True, False], 44, False, [False, False, False, False], 5752, 'West', (16, 13))
Element 29: (1, (16, 13), ['', '', '%', ''], [(16, 11), (12, 2), (15, 5)], [False, False, True, False], 42, False, [False, False, False, False], 5771, 'East', (17, 13))
Element 30: (1, (17, 13), ['', '', '%', ''], [(16, 12), (13, 2), (15, 4)], [False, False, True, False], 40, False, [False, False, False, False], 5790, 'East', (18, 13))
Element 31: (1, (18, 13), ['', '', '%', '%'], [(17, 12), (14, 2), (14, 4)], [False, False, True, True], 38, False, [False, False, False, False], 5809, 'South', (18, 12))
Element 32: (1, (18, 12), ['', '', '', '%'], [(17, 11), (14, 3), (14, 5)], [False, False, False, True], 36, False, [False, False, False, False], 5828, 'South', (18, 11))
Element 33: (1, (18, 11), ['', '', '', '%'], [(16, 11), (13, 3), (13, 5)], [False, False, False, True], 34, False, [False, False, False, False], 5847, 'South', (18, 10))
Element 34: (1, (18, 10), ['', '%', '', '%'], [(17, 11), (13, 4), (13, 6)], [False, True, False, True], 32, False, [False, False, False, False], 5866, 'West', (17, 10))
Element 35: (1, (17, 10), ['', '', '', ''], [(16, 11), (12, 4), (12, 6)], [False, False, False, False], 30, False, [False, False, False, False], 5885, 'North', (17, 11))
Element 36: (1, (17, 11), ['', '', '', ''], [(16, 10), (12, 5), (11, 6)], [False, False, False, False], 28, False, [False, False, False, False], 5904, 'West', (16, 11))
Element 37: (1, (16, 11), ['%', '', '', ''], [(17, 10), (13, 5), (12, 6)], [True, False, False, False], 26, False, [False, False, False, False], 5903, 'South', (16, 10))
Element 38: (1, (16, 10), ['%', '', '', ''], [(17, 9), (14, 5), (13, 6)], [True, False, False, False], 24, False, [False, False, False, False], 5902, 'South', (16, 9))
Element 39: (1, (16, 9), ['%', '%', '', ''], [(17, 10), (15, 5), (13, 5)], [True, True, False, False], 22, False, [False, False, False, False], 5901, 'East', (17, 9))
Element 40: (1, (17, 9), ['', '%', '', '%'], [(18, 10), (16, 5), (12, 5)], [False, True, False, True], 20, False, [False, False, False, False], 5900, 'West', (16, 9))
Element 41: (1, (16, 9), ['%', '%', '', ''], [(18, 11), (17, 5), (12, 4)], [True, True, False, False], 18, False, [False, False, False, False], 5899, 'North', (16, 10))
Element 42: (1, (16, 10), ['%', '', '', ''], [(17, 11), (18, 5), (11, 4)], [True, False, False, False], 16, False, [False, False, False, False], 5908, 'North', (16, 11))
Element 43: (1, (16, 11), ['%', '', '', ''], [(18, 11), (18, 4), (11, 3)], [True, False, False, False], 14, False, [False, False, False, False], 5917, 'East', (17, 11))
Element 44: (1, (17, 11), ['', '', '', ''], [(18, 12), (18, 3), (10, 3)], [False, False, False, False], 12, False, [False, False, False, False], 5926, 'South', (17, 10))
Element 45: (1, (17, 10), ['', '', '', ''], [(17, 12), (17, 3), (10, 4)], [False, False, False, False], 10, False, [False, False, False, False], 5935, 'South', (17, 9))
Element 46: #1#
