Element 1: (2, (14, 5), ['.', '.', '%', 'G'], [(14, 11), (9, 12), (15, 5)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (14, 4))
Element 15: (2, (16, 3), ['.', '%', '', ''], [(12, 13), (16, 7), (18, 10)], [False, True, False, False], 70, False, [True, False, False, False], 1445, 'West', (15, 3))
Element 16: (2, (15, 3), ['.', '%', '', ''], [(11, 13), (15, 7), (17, 10)], [False, True, False, False], 68, False, [True, False, False, False], 1474, 'West', (14, 3))
Element 17: (2, (14, 3), ['.', '%', '', ''], [(12, 13), (15, 8), (17, 11)], [False, True, False, False], 66, False, [True, False, False, False], 1493, 'West', (13, 3))
Element 18: (2, (13, 3), ['.', '.', '.', ''], [(12, 12), (15, 9), (17, 10)], [False, False, False, False], 64, False, [True, True, True, False], 1512, 'North', (13, 4))
Element 19: (2, (13, 4), ['%', '', '.', ''], [(12, 11), (14, 9), (16, 10)], [True, False, False, False], 62, False, [False, False, True, False], 1531, 'North', (13, 5))
Element 20: (2, (13, 5), ['%', '', '%', ''], [(11, 11), (15, 9), (16, 9)], [True, False, True, False], 60, False, [False, False, False, False], 1540, 'South', (13, 4))
Element 21: (2, (13, 4), ['%', '', '', ''], [(10, 11), (15, 8), (16, 8)], [True, False, False, False], 58, False, [False, False, False, False], 1539, 'South', (13, 3))
Element 22: (2, (13, 3), ['.', '.', '', ''], [(9, 11), (15, 7), (16, 7)], [False, False, False, False], 56, False, [True, True, False, False], 1548, 'South', (13, 2))
Element 23: (2, (13, 2), ['.', '%', '', '%'], [(9, 10), (14, 7), (16, 8)], [False, True, False, True], 54, False, [True, False, False, False], 1577, 'West', (12, 2))
Element 24: (2, (12, 2), ['.', '.', '.', ''], [(8, 10), (13, 7), (16, 9)], [False, False, False, False], 52, False, [True, True, True, False], 1606, 'North', (12, 3))
Element 25: (2, (12, 3), ['.', '', '%', ''], [(8, 11), (13, 8), (16, 10)], [False, False, True, False], 50, False, [True, False, False, False], 1635, 'West', (11, 3))
Element 26: (2, (11, 3), ['.', '.', '.', ''], [(8, 12), (12, 8), (15, 10)], [False, False, False, False], 48, False, [True, True, True, False], 1664, 'North', (11, 4))
Element 27: (2, (11, 4), ['.', '', '.', '%'], [(8, 13), (12, 9), (15, 11)], [False, False, False, True], 46, False, [True, False, True, False], 1693, 'North', (11, 5))
Element 28: (2, (11, 5), ['.', '', '.', '%'], [(7, 13), (11, 9), (15, 12)], [False, False, False, True], 44, False, [True, False, True, False], 1722, 'North', (11, 6))
Element 29: (2, (11, 6), ['.', '', '%', '.'], [(7, 12), (11, 8), (15, 13)], [False, False, True, False], 42, False, [True, False, False, True], 1751, 'East', (12, 6))
Element 30: (2, (12, 6), ['', '%', '.', '%'], [(7, 11), (10, 8), (16, 13)], [False, True, False, True], 40, False, [False, False, True, False], 2770, 'North', (12, 7))
Element 31: (2, (12, 7), ['%', '', '', ''], [(7, 12), (10, 7), (17, 13)], [True, False, False, False], 38, False, [False, False, False, False], 2789, 'East', (13, 7))
Element 32: (2, (13, 7), ['', '%', '', ''], [(6, 12), (10, 6), (18, 13)], [False, True, False, False], 36, False, [False, False, False, False], 2808, 'East', (14, 7))
Element 33: (2, (14, 7), ['', '%', '%', ''], [(6, 13), (10, 5), (17, 13)], [False, True, True, False], 34, False, [False, False, False, False], 2827, 'East', (15, 7))
Element 34: (2, (15, 7), ['', '%', '', ''], [(6, 12), (10, 4), (16, 13)], [False, True, False, False], 32, False, [False, False, False, False], 2836, 'East', (16, 7))
Element 35: (2, (16, 7), ['', '%', '', ''], [(7, 12), (10, 3), (15, 13)], [False, True, False, False], 30, False, [False, False, False, False], 2845, 'East', (17, 7))
Element 36: (2, (17, 7), ['', '', '', '%'], [(7, 13), (10, 2), (15, 12)], [False, False, False, True], 28, False, [False, False, False, False], 2854, 'North', (17, 8))
Element 37: (2, (17, 8), ['', '', '', '%'], [(6, 13), (11, 2), (14, 12)], [False, False, False, True], 26, False, [False, False, False, False], 2863, 'North', (17, 9))
Element 38: (2, (17, 9), ['', '', '', '%'], [(7, 13), (11, 1), (14, 11)], [False, False, False, True], 24, False, [False, False, False, False], 2872, 'North', (17, 10))
Element 39: (2, (17, 10), ['', '', '', ''], [(8, 13), (12, 1), (13, 11)], [False, False, False, False], 22, False, [False, False, False, False], 2881, 'East', (18, 10))
Element 40: (2, (18, 10), ['', '%', '', '%'], [(9, 13), (12, 2), (13, 12)], [False, True, False, True], 20, False, [False, False, False, False], 2880, 'North', (18, 11))
Element 41: (2, (18, 11), ['', '', '%', '%'], [(9, 12), (13, 2), (13, 13)], [False, False, True, True], 18, False, [False, False, False, False], 2879, 'West', (17, 11))
Element 42: (2, (17, 11), ['%', '', '%', ''], [(10, 12), (13, 3), (12, 13)], [True, False, True, False], 16, False, [False, False, False, False], 2878, 'East', (18, 11))
Element 43: (2, (18, 11), ['', '', '%', '%'], [(9, 12), (14, 3), (12, 12)], [False, False, True, True], 14, False, [False, False, False, False], 2877, 'South', (18, 10))
Element 44: (2, (18, 10), ['', '%', '', '%'], [(9, 13), (15, 3), (12, 11)], [False, True, False, True], 12, False, [False, False, False, False], 2876, 'West', (17, 10))
Element 45: (2, (17, 10), ['', '', '', ''], [(8, 13), (16, 3), (11, 11)], [False, False, False, False], 10, False, [False, False, False, False], 2875, 'North', (17, 11))
Element 46: (2, (17, 11), ['%', '', '%', ''], [(8, 12), (17, 3), (10, 11)], [True, False, True, False], 8, False, [False, False, False, False], 2874, 'South', (17, 10))
Element 47: (2, (17, 10), ['', '', '', ''], [(7, 12), (18, 3), (10, 12)], [False, False, False, False], 6, False, [False, False, False, False], 2873, 'West', (16, 10))
Element 48: (2, (16, 10), ['', '', '%', ''], [(8, 12), (18, 4), (9, 12)], [False, False, True, False], 4, False, [False, False, False, False], 2872, 'South', (16, 9))
Element 49: (2, (16, 9), ['', '', '', ''], [(9, 12), (18, 5), (9, 13)], [False, False, False, False], 2, False, [False, False, False, False], 2871, 'South', (16, 8))
Element 50: (2, (16, 8), ['', '', '', ''], [(9, 12), (18, 5), (8, 13)], [False, False, False, False], 0, False, [False, False, False, False], 2870, 'Stop', (16, 8))
Element 51: #0#
