Element 1: (0, (9, 5), ['%', '.', '.', 'G'], [(10, 5), (10, 7), (14, 11)], [True, False, False, False], 98, False, [False, True, True, False], 0, 'North', (9, 6))
Element 34: (0, (1, 12), ['%', '', '', ''], [(17, 13), (17, 1), (8, 10)], [True, False, False, False], 32, False, [False, False, False, False], 1807, 'East', (2, 12))
Element 35: (0, (2, 12), ['', '', '', ''], [(16, 13), (16, 1), (8, 11)], [False, False, False, False], 30, False, [False, False, False, False], 2806, 'North', (2, 13))
Element 36: (0, (2, 13), ['', '', '%', ''], [(15, 13), (17, 1), (7, 11)], [False, False, True, False], 28, False, [False, False, False, False], 2815, 'West', (1, 13))
Element 37: (0, (1, 13), ['%', '', '%', ''], [(15, 12), (17, 2), (7, 12)], [True, False, True, False], 26, False, [False, False, False, False], 2834, 'East', (2, 13))
Element 38: (0, (2, 13), ['', '', '%', ''], [(14, 12), (17, 3), (7, 13)], [False, False, True, False], 24, False, [False, False, False, False], 2853, 'East', (3, 13))
Element 39: (0, (3, 13), ['', '', '%', '%'], [(14, 11), (17, 4), (6, 13)], [False, False, True, True], 22, False, [False, False, False, False], 2872, 'South', (3, 12))
Element 40: (0, (3, 12), ['', '', '', ''], [(13, 11), (17, 5), (6, 12)], [False, False, False, False], 20, False, [False, False, False, False], 2891, 'South', (3, 11))
Element 41: (0, (3, 11), ['', '%', '', ''], [(13, 12), (16, 5), (6, 13)], [False, True, False, False], 18, False, [False, False, False, False], 2900, 'North', (3, 12))
Element 42: (0, (3, 12), ['', '', '', ''], [(13, 13), (16, 4), (7, 13)], [False, False, False, False], 16, False, [False, False, False, False], 2909, 'West', (2, 12))
Element 43: (0, (2, 12), ['', '', '', ''], [(12, 13), (16, 3), (7, 12)], [False, False, False, False], 14, False, [False, False, False, False], 2918, 'East', (3, 12))
Element 44: (0, (3, 12), ['', '', '', ''], [(11, 13), (15, 3), (6, 12)], [False, False, False, False], 12, False, [False, False, False, False], 2937, 'East', (4, 12))
Element 45: (0, (4, 12), ['', '', '%', '%'], [(12, 13), (15, 4), (7, 12)], [False, False, True, True], 10, False, [False, False, False, False], 2946, 'South', (4, 11))
Element 46: (0, (4, 11), ['', '.', '', ''], [(12, 12), (15, 5), (7, 11)], [False, False, False, False], 8, False, [False, True, False, False], 2955, 'South', (4, 10))
Element 47: (0, (4, 10), ['%', '.', '', ''], [(12, 11), (14, 5), (8, 11)], [True, False, False, False], 6, False, [False, True, False, False], 2974, 'South', (4, 9))
Element 48: (0, (4, 9), ['%', '.', '', '.'], [(11, 11), (14, 4), (8, 12)], [True, False, False, False], 4, False, [False, True, False, True], 2993, 'East', (5, 9))
Element 49: (0, (5, 9), ['', '%', '', ''], [(10, 11), (14, 3), (7, 12)], [False, True, False, False], 2, False, [False, False, False, False], 3012, 'West', (4, 9))
Element 50: (0, (4, 9), ['%', '.', '', ''], [(10, 12), (13, 3), (8, 12)], [True, False, False, False], 0, False, [False, True, False, False], 3021, 'Stop', (4, 9))
Element 51: #0#
