Element 1: (1, (15, 6), ['%', '.', 'G', '.'], [(7, 3), (15, 7), (18, 11)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'East', (16, 6))
Element 19: (1, (14, 5), ['.', '', '%', ''], [(18, 4), (17, 3), (14, 13)], [False, False, True, False], 62, False, [True, False, False, False], 2431, 'West', (13, 5))
Element 20: (1, (13, 5), ['.', '.', '.', ''], [(18, 5), (17, 4), (13, 13)], [False, False, False, False], 60, False, [True, True, True, False], 2450, 'North', (13, 6))
Element 21: (1, (13, 6), ['.', '', '%', '%'], [(17, 5), (16, 4), (13, 12)], [False, False, True, True], 58, False, [True, False, False, False], 2469, 'West', (12, 6))
Element 22: (1, (12, 6), ['.', '.', '%', ''], [(17, 6), (16, 3), (13, 11)], [False, False, True, False], 56, False, [True, True, False, False], 2488, 'South', (12, 5))
Element 23: (1, (12, 5), ['%', '.', '', ''], [(17, 7), (16, 4), (12, 11)], [True, False, False, False], 54, False, [False, True, False, False], 2507, 'South', (12, 4))
Element 24: (1, (12, 4), ['.', '%', '', '.'], [(18, 7), (15, 4), (12, 12)], [False, True, False, False], 52, False, [True, False, False, True], 2526, 'East', (13, 4))
Element 25: (1, (13, 4), ['', '.', '', 'G'], [(17, 7), (14, 4), (12, 13)], [False, False, False, False], 50, False, [False, True, False, False], 2545, 'South', (13, 3))
Element 26: (1, (13, 3), ['%', '', '', ''], [(17, 6), (14, 5), (12, 12)], [True, False, False, False], 48, False, [False, False, False, False], 2554, 'East', (14, 3))
Element 27: (1, (14, 3), ['', '', '', '%'], [(16, 6), (13, 5), (11, 12)], [False, False, False, True], 46, False, [False, False, False, False], 2563, 'North', (14, 4))
Element 28: (1, (14, 4), ['', '', '', ''], [(16, 5), (13, 6), (10, 12)], [False, False, False, False], 44, False, [False, False, False, False], 2572, 'East', (15, 4))
Element 29: (1, (15, 4), ['', '%', 'G', ''], [(15, 5), (12, 6), (10, 13)], [False, True, False, False], 42, False, [False, False, False, False], 2581, 'West', (14, 4))
Element 30: (1, (14, 4), ['', '', '', ''], [(15, 6), (11, 6), (9, 13)], [False, False, False, False], 40, False, [False, False, False, False], 2600, 'South', (14, 3))
Element 31: (1, (14, 3), ['', '', '', '%'], [(15, 7), (12, 6), (9, 12)], [False, False, False, True], 38, False, [False, False, False, False], 2609, 'South', (14, 2))
Element 32: (1, (14, 2), ['', '.', '', '%'], [(15, 8), (12, 5), (8, 12)], [False, False, False, True], 36, False, [False, True, False, False], 3608, 'South', (14, 1))
Element 33: (1, (14, 1), ['.', '%', '', '.'], [(14, 8), (12, 4), (7, 12)], [False, True, False, False], 34, False, [True, False, False, True], 3627, 'East', (15, 1))
Element 34: (1, (15, 1), ['', '%', '%', '%'], [(14, 7), (11, 4), (7, 13)], [False, True, True, True], 32, False, [False, False, False, False], 3656, 'West', (14, 1))
Element 35: (1, (14, 1), ['.', '%', '', ''], [(14, 8), (11, 3), (6, 13)], [False, True, False, False], 30, False, [True, False, False, False], 3675, 'West', (13, 1))
Element 36: (1, (13, 1), ['.', '%', '', ''], [(13, 8), (10, 3), (6, 12)], [False, True, False, False], 28, False, [True, False, False, False], 3704, 'West', (12, 1))
Element 37: (1, (12, 1), ['.', '%', '', ''], [(14, 8), (10, 4), (6, 11)], [False, True, False, False], 26, False, [True, False, False, False], 3733, 'West', (11, 1))
Element 38: (1, (11, 1), ['%', '%', '', ''], [(15, 8), (10, 5), (5, 11)], [True, True, False, False], 24, False, [False, False, False, False], 4752, 'North', (11, 2))
Element 39: (1, (11, 2), ['', '', '', ''], [(15, 7), (9, 5), (5, 12)], [False, False, False, False], 22, False, [False, False, False, False], 4771, 'East', (12, 2))
Element 40: (1, (12, 2), ['', '', '%', ''], [(14, 7), (9, 6), (5, 13)], [False, False, True, False], 20, False, [False, False, False, False], 4790, 'East', (13, 2))
Element 41: (1, (13, 2), ['', '', '', ''], [(15, 7), (9, 7), (4, 13)], [False, False, False, False], 18, False, [False, False, False, False], 4809, 'West', (12, 2))
Element 42: (1, (12, 2), ['', '', '%', ''], [(15, 6), (10, 7), (4, 12)], [False, False, True, False], 16, False, [False, False, False, False], 4828, 'West', (11, 2))
Element 43: (1, (11, 2), ['', '', '', ''], [(15, 5), (10, 8), (4, 11)], [False, False, False, False], 14, False, [False, False, False, False], 4847, 'North', (11, 3))
Element 44: (1, (11, 3), ['', '', '', '%'], [(14, 5), (9, 8), (4, 10)], [False, False, False, True], 12, False, [False, False, False, False], 4866, 'North', (11, 4))
Element 45: (1, (11, 4), ['', '', '%', ''], [(13, 5), (8, 8), (3, 10)], [False, False, True, False], 10, False, [False, False, False, False], 4885, 'West', (10, 4))
Element 46: (1, (10, 4), ['.', '', '', ''], [(13, 6), (8, 9), (2, 10)], [False, False, False, False], 8, False, [True, False, False, False], 4904, 'West', (9, 4))
Element 47: (1, (9, 4), ['.', '', '', ''], [(12, 6), (7, 9), (2, 11)], [False, False, False, False], 6, False, [True, False, False, False], 5923, 'West', (8, 4))
Element 48: (1, (8, 4), ['%', '', '.', ''], [(12, 5), (7, 8), (1, 11)], [True, False, False, False], 4, False, [False, False, True, False], 6942, 'North', (8, 5))
Element 49: (1, (8, 5), ['%', '', '.', ''], [(12, 4), (6, 8), (1, 12)], [True, False, False, False], 2, False, [False, False, True, False], 6971, 'North', (8, 6))
Element 50: (1, (8, 6), ['%', '', '%', ''], [(12, 4), (6, 9), (2, 12)], [True, False, True, False], 0, False, [False, False, False, False], 7000, 'Stop', (8, 6))
Element 51: #0#
