Element 32: (3, (10, 7), ['', '%', '', '%'], [(17, 10), (14, 8), (9, 6)], [False, True, False, True], 36, False, [False, False, False, False], 3578, 'West', (9, 7))
Element 33: (3, (9, 7), ['%', '', '', ''], [(18, 10), (13, 8), (8, 6)], [True, False, False, False], 34, False, [False, False, False, False], 3587, 'North', (9, 8))
Element 34: (3, (9, 8), ['', '', '%', ''], [(18, 11), (14, 8), (8, 5)], [False, False, True, False], 32, False, [False, False, False, False], 3586, 'South', (9, 7))
Element 35: (3, (9, 7), ['%', '', '', ''], [(17, 11), (15, 8), (8, 4)], [True, False, False, False], 30, False, [False, False, False, False], 3595, 'South', (9, 6))
Element 36: (3, (9, 6), ['', '', '', '%'], [(18, 11), (15, 7), (8, 3)], [False, False, False, True], 28, False, [False, False, False, False], 3594, 'West', (8, 6))
Element 37: (3, (8, 6), ['%', '', '%', ''], [(18, 12), (14, 7), (8, 2)], [True, False, True, False], 26, False, [False, False, False, False], 3603, 'South', (8, 5))
Element 38: (3, (8, 5), ['%', '', '', ''], [(17, 12), (15, 7), (8, 1)], [True, False, False, False], 24, False, [False, False, False, False], 3612, 'South', (8, 4))
Element 39: (3, (8, 4), ['%', '', '', ''], [(18, 12), (15, 6), (9, 1)], [True, False, False, False], 22, False, [False, False, False, False], 3621, 'East', (9, 4))
Element 40: (3, (9, 4), ['', '', '', ''], [(18, 13), (15, 5), (9, 2)], [False, False, False, False], 20, False, [False, False, False, False], 3620, 'South', (9, 3))
Element 41: (3, (9, 3), ['', '', '', '.'], [(17, 13), (14, 5), (10, 2)], [False, False, False, False], 18, False, [False, False, False, True], 3629, 'East', (10, 3))
Element 42: (3, (10, 3), ['', '', '', '.'], [(17, 12), (13, 5), (11, 2)], [False, False, False, False], 16, False, [False, False, False, True], 3648, 'East', (11, 3))
Element 43: (3, (11, 3), ['', '', '.', '%'], [(17, 13), (13, 6), (11, 1)], [False, False, False, True], 14, False, [False, False, True, False], 3677, 'North', (11, 4))
Element 44: (3, (11, 4), ['', '', '%', '.'], [(16, 13), (12, 6), (12, 1)], [False, False, True, False], 12, False, [False, False, False, True], 3706, 'East', (12, 4))
Element 45: (3, (12, 4), ['', '%', 'G', '.'], [(16, 12), (12, 5), (13, 1)], [False, True, False, False], 10, False, [False, False, False, True], 3735, 'East', (13, 4))
Element 46: (3, (13, 4), ['G', '.', '', ''], [(16, 13), (12, 4), (14, 1)], [False, False, False, False], 8, False, [False, True, False, False], 3754, 'South', (13, 3))
Element 47: (3, (13, 3), ['%', '', 'G', ''], [(15, 13), (13, 4), (15, 1)], [True, False, False, False], 6, False, [False, False, False, False], 3773, 'East', (14, 3))
Element 48: (3, (14, 3), ['G', '', '', '%'], [(15, 12), (13, 3), (14, 1)], [False, False, False, True], 4, False, [False, False, False, False], 3772, 'North', (14, 4))
Element 49: (3, (14, 4), ['G', '', '', ''], [(15, 13), (13, 4), (14, 2)], [False, False, False, False], 2, False, [False, False, False, False], 3771, 'East', (15, 4))
Element 50: (3, (15, 4), ['', '%', '', ''], [(15, 13), (13, 4), (14, 2)], [False, True, False, False], 0, False, [False, False, False, False], 3770, 'Stop', (15, 4))
Element 51: #0#
