Element 1: (1, (5, 3), ['.', '.', '%', 'G'], [(15, 5), (6, 3), (17, 1)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'South', (5, 2))
Element 35: (1, (7, 9), ['', '', '%', ''], [(6, 8), (18, 5), (18, 1)], [False, False, True, False], 30, False, [False, False, False, False], 4595, 'West', (6, 9))
Element 36: (1, (6, 9), ['%', '', '%', ''], [(7, 8), (18, 4), (17, 1)], [True, False, True, False], 28, False, [False, False, False, False], 4594, 'East', (7, 9))
Element 37: (1, (7, 9), ['', '', '%', ''], [(6, 8), (18, 3), (17, 1)], [False, False, True, False], 26, False, [False, False, False, False], 4593, 'East', (8, 9))
Element 38: (1, (8, 9), ['', '', '%', '%'], [(5, 8), (17, 3), (18, 1)], [False, False, True, True], 24, False, [False, False, False, False], 4592, 'South', (8, 8))
Element 39: (1, (8, 8), ['', '%', '', ''], [(4, 8), (17, 4), (17, 1)], [False, True, False, False], 22, False, [False, False, False, False], 4591, 'West', (7, 8))
Element 40: (1, (7, 8), ['', '%', '', ''], [(5, 8), (16, 4), (17, 1)], [False, True, False, False], 20, False, [False, False, False, False], 4590, 'East', (8, 8))
Element 41: (1, (8, 8), ['', '%', '', ''], [(6, 8), (16, 5), (18, 1)], [False, True, False, False], 18, False, [False, False, False, False], 4589, 'East', (9, 8))
Element 42: (1, (9, 8), ['', '', '%', ''], [(6, 9), (16, 4), (17, 1)], [False, False, True, False], 16, False, [False, False, False, False], 4588, 'East', (10, 8))
Element 43: (1, (10, 8), ['', '', '%', '%'], [(7, 9), (16, 3), (17, 1)], [False, False, True, True], 14, False, [False, False, False, False], 4587, 'South', (10, 7))
Element 44: (1, (10, 7), ['', '%', '', '%'], [(8, 9), (16, 4), (18, 1)], [False, True, False, True], 12, False, [False, False, False, False], 4586, 'West', (9, 7))
Element 45: (1, (9, 7), ['%', '', '', ''], [(8, 8), (15, 4), (17, 1)], [True, False, False, False], 10, False, [False, False, False, False], 4585, 'North', (9, 8))
Element 46: (1, (9, 8), ['', '', '%', ''], [(7, 8), (16, 4), (17, 1)], [False, False, True, False], 8, False, [False, False, False, False], 4584, 'South', (9, 7))
Element 47: (1, (9, 7), ['%', '', '', ''], [(8, 8), (17, 4), (18, 1)], [True, False, False, False], 6, False, [False, False, False, False], 4583, 'South', (9, 6))
Element 48: (1, (9, 6), ['', '', '', '%'], [(9, 8), (17, 3), (17, 1)], [False, False, False, True], 4, False, [False, False, False, False], 4582, 'West', (8, 6))
Element 49: (1, (8, 6), ['%', '', '%', ''], [(10, 8), (16, 3), (17, 1)], [True, False, True, False], 2, False, [False, False, False, False], 4581, 'South', (8, 5))
Element 50: (1, (8, 5), ['%', '', '', ''], [(10, 8), (17, 3), (18, 1)], [True, False, False, False], 0, False, [False, False, False, False], 4580, 'Stop', (8, 5))
Element 51: #0#
