Element 1: (3, (17, 11), ['.', '%', '%', ''], [(6, 3), (3, 9), (12, 3)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 11))
Element 41: (3, (16, 4), ['', '', '', '%'], [(18, 7), (18, 10), (18, 11)], [False, False, False, True], 18, False, [False, False, False, False], 659, 'South', (16, 3))
Element 42: (3, (16, 3), ['', '%', '', '%'], [(18, 8), (18, 9), (17, 11)], [False, True, False, True], 16, False, [False, False, False, False], 658, 'West', (15, 3))
Element 43: (3, (15, 3), ['%', '', '', ''], [(18, 7), (18, 8), (16, 11)], [True, False, False, False], 14, False, [False, False, False, False], 657, 'North', (15, 4))
Element 44: (3, (15, 4), ['%', '', '', ''], [(18, 6), (18, 7), (15, 11)], [True, False, False, False], 12, False, [False, False, False, False], 656, 'North', (15, 5))
Element 45: (3, (15, 5), ['%', '', '', ''], [(18, 5), (17, 7), (15, 10)], [True, False, False, False], 10, False, [False, False, False, False], 655, 'North', (15, 6))
Element 46: (3, (15, 6), ['%', '', '', ''], [(18, 4), (16, 7), (15, 11)], [True, False, False, False], 8, False, [False, False, False, False], 654, 'North', (15, 7))
Element 47: (3, (15, 7), ['%', '', '%', ''], [(18, 3), (16, 6), (16, 11)], [True, False, True, False], 6, False, [False, False, False, False], 653, 'South', (15, 6))
Element 48: (3, (15, 6), ['%', '', '', ''], [(18, 2), (16, 5), (17, 11)], [True, False, False, False], 4, False, [False, False, False, False], 652, 'South', (15, 5))
Element 49: (3, (15, 5), ['%', '', '', ''], [(18, 1), (16, 4), (18, 11)], [True, False, False, False], 2, False, [False, False, False, False], 651, 'South', (15, 4))
Element 50: (3, (15, 4), ['%', '', '', 'G'], [(18, 1), (16, 4), (18, 11)], [True, False, False, False], 0, False, [False, False, False, False], 650, 'Stop', (15, 4))
Element 51: #0#
