Element 1: (0, (1, 10), ['%', '.', '', '%'], [(3, 7), (9, 11), (15, 7)], [True, False, False, True], 98, False, [False, True, False, False], 0, 'South', (1, 9))
Element 15: (0, (6, 11), ['%', '', '%', ''], [(10, 10), (16, 4), (16, 8)], [True, False, True, False], 70, False, [False, False, False, False], 416, 'East', (7, 11))
Element 16: (0, (7, 11), ['', '%', '%', ''], [(10, 9), (16, 3), (16, 9)], [False, True, True, False], 68, False, [False, False, False, False], 435, 'East', (8, 11))
Element 17: (0, (8, 11), ['', '%', '%', ''], [(9, 9), (15, 3), (15, 9)], [False, True, True, False], 66, False, [False, False, False, False], 454, 'East', (9, 11))
Element 18: (0, (9, 11), ['', '', '%', ''], [(9, 8), (15, 4), (14, 9)], [False, False, True, False], 64, False, [False, False, False, False], 463, 'East', (10, 11))
Element 19: (0, (10, 11), ['', '', '%', ''], [(9, 7), (15, 5), (13, 9)], [False, False, True, False], 62, False, [False, False, False, False], 482, 'East', (11, 11))
Element 20: (0, (11, 11), ['', '%', '%', ''], [(10, 7), (15, 6), (13, 8)], [False, True, True, False], 60, False, [False, False, False, False], 511, 'East', (12, 11))
Element 21: (0, (12, 11), ['', '%', '%', ''], [(11, 7), (15, 7), (13, 7)], [False, True, True, False], 58, False, [False, False, False, False], 530, 'East', (13, 11))
Element 22: (0, (13, 11), ['', '', '%', '%'], [(10, 7), (15, 6), (13, 6)], [False, False, True, True], 56, False, [False, False, False, False], 539, 'South', (13, 10))
Element 23: (0, (13, 10), ['%', '', '', '%'], [(10, 8), (15, 5), (13, 5)], [True, False, False, True], 54, False, [False, False, False, False], 548, 'South', (13, 9))
Element 24: (0, (13, 9), ['.', '', '', ''], [(10, 7), (15, 4), (13, 4)], [False, False, False, False], 52, False, [True, False, False, False], 557, 'West', (12, 9))
Element 25: (0, (12, 9), ['%', '%', '%', ''], [(9, 7), (15, 3), (13, 3)], [True, True, True, False], 50, False, [False, False, False, False], 576, 'East', (13, 9))
Element 26: (0, (13, 9), ['', '', '', ''], [(9, 8), (15, 2), (13, 2)], [False, False, False, False], 48, False, [False, False, False, False], 595, 'East', (14, 9))
Element 27: (0, (14, 9), ['', '%', '%', ''], [(10, 8), (15, 1), (13, 1)], [False, True, True, False], 46, False, [False, False, False, False], 614, 'East', (15, 9))
Element 28: (0, (15, 9), ['', '%', '', ''], [(9, 8), (16, 1), (12, 1)], [False, True, False, False], 44, False, [False, False, False, False], 633, 'East', (16, 9))
Element 29: (0, (16, 9), ['', '', '%', '%'], [(9, 9), (17, 1), (11, 1)], [False, False, True, True], 42, False, [False, False, False, False], 652, 'South', (16, 8))
Element 30: (0, (16, 8), ['%', '', '', '%'], [(10, 9), (18, 1), (10, 1)], [True, False, False, True], 40, False, [False, False, False, False], 661, 'South', (16, 7))
Element 31: (0, (16, 7), ['', '', '', ''], [(10, 8), (18, 2), (9, 1)], [False, False, False, False], 38, False, [False, False, False, False], 680, 'East', (17, 7))
Element 32: (0, (17, 7), ['', '%', '%', ''], [(10, 9), (18, 3), (8, 1)], [False, True, True, False], 36, False, [False, False, False, False], 699, 'East', (18, 7))
Element 33: (0, (18, 7), ['', '.', '', '%'], [(10, 10), (18, 4), (7, 1)], [False, False, False, True], 34, False, [False, True, False, False], 718, 'South', (18, 6))
Element 34: (0, (18, 6), ['%', 'G', '', '%'], [(10, 11), (18, 5), (6, 1)], [True, False, False, True], 32, False, [False, False, False, False], 747, 'North', (18, 7))
Element 35: (0, (18, 7), ['', 'G', '', '%'], [(11, 11), (18, 6), (6, 2)], [False, False, False, True], 30, False, [False, False, False, False], 756, 'North', (18, 8))
Element 36: (0, (18, 8), ['%', 'G', '', '%'], [(12, 11), (18, 7), (6, 3)], [True, False, False, True], 28, False, [False, False, False, False], 765, 'North', (18, 9))
Element 37: (0, (18, 9), ['%', 'G', '', '%'], [(13, 11), (18, 8), (7, 3)], [True, False, False, True], 26, False, [False, False, False, False], 774, 'North', (18, 10))
Element 38: (0, (18, 10), ['%', 'G', '', '%'], [(13, 10), (18, 9), (8, 3)], [True, False, False, True], 24, False, [False, False, False, False], 783, 'North', (18, 11))
Element 39: (0, (18, 11), ['', 'G', '%', '%'], [(13, 9), (18, 10), (9, 3)], [False, False, True, True], 22, False, [False, False, False, False], 792, 'West', (17, 11))
Element 40: (0, (17, 11), ['', '%', '%', 'G'], [(14, 9), (18, 11), (10, 3)], [False, True, True, False], 20, False, [False, False, False, False], 801, 'West', (16, 11))
Element 41: (0, (16, 11), ['', '%', '%', 'G'], [(15, 9), (17, 11), (11, 3)], [False, True, True, False], 18, False, [False, False, False, False], 810, 'West', (15, 11))
Element 42: (0, (15, 11), ['%', '', '%', 'G'], [(16, 9), (16, 11), (12, 3)], [True, False, True, False], 16, False, [False, False, False, False], 819, 'South', (15, 10))
Element 43: (0, (15, 10), ['%', '', 'G', '%'], [(16, 8), (15, 11), (11, 3)], [True, False, False, True], 14, False, [False, False, False, False], 818, 'South', (15, 9))
Element 44: (0, (15, 9), ['', '%', 'G', ''], [(16, 7), (15, 10), (10, 3)], [False, True, False, False], 12, False, [False, False, False, False], 817, 'North', (15, 10))
Element 45: (0, (15, 10), ['%', '', 'G', '%'], [(17, 7), (15, 11), (9, 3)], [True, False, False, True], 10, False, [False, False, False, False], 816, 'North', (15, 11))
Element 46: (0, (15, 11), ['%', '', '%', 'G'], [(18, 7), (16, 11), (8, 3)], [True, False, True, False], 8, False, [False, False, False, False], 815, 'East', (16, 11))
Element 47: (0, (16, 11), ['', '%', '%', 'G'], [(18, 8), (17, 11), (8, 4)], [False, True, True, False], 6, False, [False, False, False, False], 814, 'Stop', (16, 11))
Element 48: (0, (16, 11), ['', '%', '%', ''], [(18, 9), (18, 11), (8, 5)], [False, True, True, False], 4, False, [False, False, False, False], 813, 'West', (15, 11))
Element 49: (0, (15, 11), ['%', '', '%', ''], [(18, 10), (17, 11), (9, 5)], [True, False, True, False], 2, False, [False, False, False, False], 812, 'South', (15, 10))
Element 50: (0, (15, 10), ['%', '', '', '%'], [(18, 11), (17, 11), (10, 5)], [True, False, False, True], 0, False, [False, False, False, False], 811, 'Stop', (15, 10))
Element 51: #0#
