Element 1: (0, (17, 11), ['.', '%', '%', ''], [(3, 5), (12, 3), (18, 2)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'West', (16, 11))
Element 33: (0, (17, 7), ['', '%', '%', 'G'], [(18, 10), (18, 7), (17, 1)], [False, True, True, False], 34, False, [False, False, False, False], 528, 'West', (16, 7))
Element 34: (0, (16, 7), ['', '', '', ''], [(18, 11), (18, 8), (18, 1)], [False, False, False, False], 32, False, [False, False, False, False], 527, 'South', (16, 6))
Element 35: (0, (16, 6), ['', '', '', '%'], [(17, 11), (18, 9), (17, 1)], [False, False, False, True], 30, False, [False, False, False, False], 526, 'South', (16, 5))
Element 36: (0, (16, 5), ['', '', '', '%'], [(16, 11), (18, 10), (16, 1)], [False, False, False, True], 28, False, [False, False, False, False], 525, 'South', (16, 4))
Element 37: (0, (16, 4), ['', '', '', '%'], [(15, 11), (18, 11), (15, 1)], [False, False, False, True], 26, False, [False, False, False, False], 524, 'South', (16, 3))
Element 38: (0, (16, 3), ['', '%', '', '%'], [(15, 10), (17, 11), (15, 2)], [False, True, False, True], 24, False, [False, False, False, False], 523, 'West', (15, 3))
Element 39: (0, (15, 3), ['%', '', '', ''], [(15, 11), (16, 11), (15, 1)], [True, False, False, False], 22, False, [False, False, False, False], 522, 'North', (15, 4))
Element 40: (0, (15, 4), ['%', '', '', ''], [(15, 10), (15, 11), (15, 2)], [True, False, False, False], 20, False, [False, False, False, False], 521, 'North', (15, 5))
Element 41: (0, (15, 5), ['%', '', '', ''], [(15, 11), (15, 10), (15, 3)], [True, False, False, False], 18, False, [False, False, False, False], 520, 'North', (15, 6))
Element 42: (0, (15, 6), ['%', '', '', ''], [(16, 11), (15, 11), (15, 4)], [True, False, False, False], 16, False, [False, False, False, False], 519, 'North', (15, 7))
Element 43: (0, (15, 7), ['%', '', '%', ''], [(16, 11), (15, 10), (16, 4)], [True, False, True, False], 14, False, [False, False, False, False], 518, 'South', (15, 6))
Element 44: (0, (15, 6), ['%', '', '', ''], [(16, 11), (15, 11), (16, 5)], [True, False, False, False], 12, False, [False, False, False, False], 517, 'South', (15, 5))
Element 45: (0, (15, 5), ['%', '', '', ''], [(16, 11), (16, 11), (16, 4)], [True, False, False, False], 10, False, [False, False, False, False], 516, 'South', (15, 4))
Element 46: (0, (15, 4), ['%', '', '', ''], [(16, 11), (16, 11), (16, 5)], [True, False, False, False], 8, False, [False, False, False, False], 515, 'South', (15, 3))
Element 47: (0, (15, 3), ['%', '', '', ''], [(16, 11), (16, 11), (16, 6)], [True, False, False, False], 6, False, [False, False, False, False], 514, 'South', (15, 2))
Element 48: (0, (15, 2), ['%', '', '', '%'], [(16, 11), (16, 11), (15, 6)], [True, False, False, True], 4, False, [False, False, False, False], 513, 'South', (15, 1))
Element 49: (0, (15, 1), ['%', '%', '', ''], [(16, 11), (16, 11), (15, 5)], [True, True, False, False], 2, False, [False, False, False, False], 512, 'East', (16, 1))
Element 50: (0, (16, 1), ['', '%', '%', ''], [(16, 11), (16, 11), (15, 6)], [False, True, True, False], 0, False, [False, False, False, False], 511, 'Stop', (16, 1))
Element 51: #0#
