Element 36: (1, (18, 11), ['', '', '%', '%'], [(18, 5), (18, 7), (15, 1)], [False, False, True, True], 28, False, [False, False, False, False], 564, 'West', (17, 11))
Element 37: (1, (17, 11), ['', '%', '%', ''], [(18, 4), (17, 7), (15, 2)], [False, True, True, False], 26, False, [False, False, False, False], 563, 'West', (16, 11))
Element 38: (1, (16, 11), ['', '%', '%', ''], [(18, 3), (16, 7), (15, 3)], [False, True, True, False], 24, False, [False, False, False, False], 562, 'West', (15, 11))
Element 39: (1, (15, 11), ['%', '', '%', ''], [(18, 2), (16, 6), (16, 3)], [True, False, True, False], 22, False, [False, False, False, False], 561, 'South', (15, 10))
Element 40: (1, (15, 10), ['%', '', '', '%'], [(18, 1), (15, 6), (16, 4)], [True, False, False, True], 20, False, [False, False, False, False], 560, 'North', (15, 11))
Element 41: (1, (15, 11), ['%', '', '%', ''], [(17, 1), (15, 7), (15, 4)], [True, False, True, False], 18, False, [False, False, False, False], 559, 'East', (16, 11))
Element 42: (1, (16, 11), ['', '%', '%', ''], [(16, 1), (15, 6), (16, 4)], [False, True, True, False], 16, False, [False, False, False, False], 558, 'East', (17, 11))
Element 43: (1, (17, 11), ['', '%', '%', ''], [(15, 1), (15, 5), (16, 5)], [False, True, True, False], 14, False, [False, False, False, False], 557, 'East', (18, 11))
Element 44: (1, (18, 11), ['', '', '%', '%'], [(15, 2), (15, 4), (15, 5)], [False, False, True, True], 12, False, [False, False, False, False], 556, 'South', (18, 10))
Element 45: (1, (18, 10), ['%', '', '', '%'], [(15, 1), (15, 3), (16, 5)], [True, False, False, True], 10, False, [False, False, False, False], 555, 'South', (18, 9))
Element 46: (1, (18, 9), ['%', '', '', '%'], [(15, 2), (15, 4), (16, 6)], [True, False, False, True], 8, False, [False, False, False, False], 554, 'South', (18, 8))
Element 47: (1, (18, 8), ['%', '', '', '%'], [(15, 3), (15, 3), (15, 6)], [True, False, False, True], 6, False, [False, False, False, False], 553, 'South', (18, 7))
Element 48: (1, (18, 7), ['', '', '', '%'], [(15, 2), (15, 4), (15, 5)], [False, False, False, True], 4, False, [False, False, False, False], 552, 'South', (18, 6))
Element 49: (1, (18, 6), ['%', '', '', '%'], [(15, 1), (15, 3), (15, 6)], [True, False, False, True], 2, False, [False, False, False, False], 551, 'South', (18, 5))
Element 50: (1, (18, 5), ['%', '', '', '%'], [(15, 1), (15, 4), (15, 7)], [True, False, False, True], 0, False, [False, False, False, False], 550, 'Stop', (18, 5))
Element 51: #0#
