Element 1: (3, (17, 1), ['.', '%', '%', ''], [(10, 10), (6, 5), (7, 11)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 1))
Element 20: (3, (15, 10), ['%', '', '', '%'], [(16, 5), (13, 9), (13, 2)], [True, False, False, True], 60, False, [False, False, False, False], 510, 'South', (15, 9))
Element 21: (3, (15, 9), ['G', '%', '', ''], [(16, 4), (14, 9), (13, 1)], [False, True, False, False], 58, False, [False, False, False, False], 519, 'East', (16, 9))
Element 22: (3, (16, 9), ['G', '', '%', '%'], [(16, 3), (15, 9), (12, 1)], [False, False, True, True], 56, False, [False, False, False, False], 528, 'South', (16, 8))
Element 23: (3, (16, 8), ['%', '', 'G', '%'], [(15, 3), (16, 9), (11, 1)], [True, False, False, True], 54, False, [False, False, False, False], 537, 'South', (16, 7))
Element 24: (3, (16, 7), ['', '', 'G', ''], [(15, 2), (16, 8), (10, 1)], [False, False, False, False], 52, False, [False, False, False, False], 546, 'North', (16, 8))
Element 25: (3, (16, 8), ['%', 'G', '', '%'], [(15, 1), (16, 7), (9, 1)], [True, False, False, True], 50, False, [False, False, False, False], 555, 'North', (16, 9))
Element 26: (3, (16, 9), ['', '', '%', '%'], [(16, 1), (17, 7), (8, 1)], [False, False, True, True], 48, False, [False, False, False, False], 564, 'Stop', (16, 9))
Element 27: (3, (16, 9), ['', '', '%', '%'], [(17, 1), (18, 7), (7, 1)], [False, False, True, True], 46, False, [False, False, False, False], 573, 'Stop', (16, 9))
Element 28: (3, (16, 9), ['', '', '%', '%'], [(18, 1), (18, 6), (6, 1)], [False, False, True, True], 44, False, [False, False, False, False], 592, 'Stop', (16, 9))
Element 29: (3, (16, 9), ['', '', '%', '%'], [(18, 2), (18, 5), (6, 2)], [False, False, True, True], 42, False, [False, False, False, False], 621, 'Stop', (16, 9))
Element 30: (3, (16, 9), ['', '', '%', '%'], [(18, 3), (18, 4), (6, 3)], [False, False, True, True], 40, False, [False, False, False, False], 650, 'Stop', (16, 9))
Element 31: (3, (16, 9), ['', '', '%', '%'], [(18, 2), (18, 3), (7, 3)], [False, False, True, True], 38, False, [False, False, False, False], 659, 'Stop', (16, 9))
Element 32: (3, (16, 9), ['', '', '%', '%'], [(18, 1), (18, 2), (8, 3)], [False, False, True, True], 36, False, [False, False, False, False], 668, 'South', (16, 8))
Element 33: (3, (16, 8), ['%', '', '', '%'], [(17, 1), (18, 1), (9, 3)], [True, False, False, True], 34, False, [False, False, False, False], 677, 'South', (16, 7))
Element 34: (3, (16, 7), ['', '', '', ''], [(16, 1), (17, 1), (10, 3)], [False, False, False, False], 32, False, [False, False, False, False], 686, 'South', (16, 6))
Element 35: (3, (16, 6), ['', '', '', '%'], [(15, 1), (16, 1), (11, 3)], [False, False, False, True], 30, False, [False, False, False, False], 695, 'North', (16, 7))
Element 36: (3, (16, 7), ['', '', '', ''], [(15, 2), (15, 1), (12, 3)], [False, False, False, False], 28, False, [False, False, False, False], 704, 'East', (17, 7))
Element 37: (3, (17, 7), ['', '%', '%', ''], [(15, 3), (15, 2), (11, 3)], [False, True, True, False], 26, False, [False, False, False, False], 703, 'West', (16, 7))
Element 38: (3, (16, 7), ['', '', '', ''], [(16, 3), (15, 3), (10, 3)], [False, False, False, False], 24, False, [False, False, False, False], 702, 'North', (16, 8))
Element 39: (3, (16, 8), ['%', '', '', '%'], [(16, 4), (16, 3), (9, 3)], [True, False, False, True], 22, False, [False, False, False, False], 701, 'South', (16, 7))
Element 40: (3, (16, 7), ['', '', '', ''], [(15, 4), (16, 4), (8, 3)], [False, False, False, False], 20, False, [False, False, False, False], 700, 'West', (15, 7))
Element 41: (3, (15, 7), ['%', '', '%', ''], [(15, 3), (16, 5), (8, 4)], [True, False, True, False], 18, False, [False, False, False, False], 699, 'South', (15, 6))
Element 42: (3, (15, 6), ['%', '', '', 'G'], [(15, 4), (16, 6), (8, 5)], [True, False, False, False], 16, False, [False, False, False, False], 698, 'South', (15, 5))
Element 43: (3, (15, 5), ['%', '', 'G', ''], [(15, 3), (15, 6), (9, 5)], [True, False, False, False], 14, False, [False, False, False, False], 697, 'South', (15, 4))
Element 44: (3, (15, 4), ['%', '', '', ''], [(15, 4), (15, 7), (10, 5)], [True, False, False, False], 12, False, [False, False, False, False], 696, 'North', (15, 5))
Element 45: (3, (15, 5), ['%', '', 'G', ''], [(15, 3), (15, 6), (11, 5)], [True, False, False, False], 10, False, [False, False, False, False], 695, 'South', (15, 4))
Element 46: (3, (15, 4), ['%', '', 'G', ''], [(15, 2), (15, 5), (10, 5)], [True, False, False, False], 8, False, [False, False, False, False], 694, 'North', (15, 5))
Element 47: (3, (15, 5), ['%', 'G', '', ''], [(15, 3), (15, 4), (9, 5)], [True, False, False, False], 6, False, [False, False, False, False], 693, 'North', (15, 6))
Element 48: (3, (15, 6), ['%', 'G', '', ''], [(15, 2), (15, 5), (8, 5)], [True, False, False, False], 4, False, [False, False, False, False], 692, 'East', (16, 6))
Element 49: (3, (16, 6), ['G', '', '', '%'], [(15, 3), (15, 6), (8, 4)], [False, False, False, True], 2, False, [False, False, False, False], 691, 'South', (16, 5))
Element 50: (3, (16, 5), ['', '', '', '%'], [(15, 3), (15, 6), (8, 4)], [False, False, False, True], 0, False, [False, False, False, False], 690, 'Stop', (16, 5))
Element 51: #0#
