Element 1: (0, (18, 2), ['%', '', '.', '%'], [(1, 9), (15, 2), (15, 7)], [True, False, False, True], 98, False, [False, False, True, False], 0, 'North', (18, 3))
Element 18: (0, (13, 10), ['%', '', '.', '%'], [(10, 11), (18, 8), (14, 9)], [True, False, False, True], 64, False, [False, False, True, False], 413, 'North', (13, 11))
Element 19: (0, (13, 11), ['.', '', '%', '%'], [(11, 11), (18, 9), (13, 9)], [False, False, True, True], 62, False, [True, False, False, False], 432, 'West', (12, 11))
Element 20: (0, (12, 11), ['', '%', '%', ''], [(10, 11), (18, 10), (13, 8)], [False, True, True, False], 60, False, [False, False, False, False], 451, 'West', (11, 11))
Element 21: (0, (11, 11), ['', '%', '%', ''], [(10, 10), (18, 11), (13, 7)], [False, True, True, False], 58, False, [False, False, False, False], 470, 'West', (10, 11))
Element 22: (0, (10, 11), ['', '', '%', ''], [(10, 9), (17, 11), (13, 6)], [False, False, True, False], 56, False, [False, False, False, False], 489, 'South', (10, 10))
Element 23: (0, (10, 10), ['.', '', '', '%'], [(9, 9), (16, 11), (13, 5)], [False, False, False, True], 54, False, [True, False, False, False], 508, 'West', (9, 10))
Element 24: (0, (9, 10), ['%', '', '', ''], [(9, 8), (15, 11), (13, 4)], [True, False, False, False], 52, False, [False, False, False, False], 527, 'North', (9, 11))
Element 25: (0, (9, 11), ['', '', '%', ''], [(9, 7), (15, 10), (13, 3)], [False, False, True, False], 50, False, [False, False, False, False], 546, 'West', (8, 11))
Element 26: (0, (8, 11), ['', '%', '%', ''], [(10, 7), (15, 9), (13, 2)], [False, True, True, False], 48, False, [False, False, False, False], 565, 'West', (7, 11))
Element 27: (0, (7, 11), ['', '%', '%', ''], [(11, 7), (16, 9), (13, 1)], [False, True, True, False], 46, False, [False, False, False, False], 584, 'West', (6, 11))
Element 28: (0, (6, 11), ['%', '', '%', ''], [(10, 7), (15, 9), (12, 1)], [True, False, True, False], 44, False, [False, False, False, False], 593, 'South', (6, 10))
Element 29: (0, (6, 10), ['%', '', '', '%'], [(10, 8), (14, 9), (11, 1)], [True, False, False, True], 42, False, [False, False, False, False], 602, 'South', (6, 9))
Element 30: (0, (6, 9), ['', '.', '', ''], [(10, 7), (13, 9), (10, 1)], [False, False, False, False], 40, False, [False, True, False, False], 611, 'South', (6, 8))
Element 31: (0, (6, 8), ['%', '.', '', '%'], [(9, 7), (12, 9), (9, 1)], [True, False, False, True], 38, False, [False, True, False, False], 640, 'South', (6, 7))
Element 32: (0, (6, 7), ['.', '.', '', ''], [(9, 8), (13, 9), (8, 1)], [False, False, False, False], 36, False, [True, True, False, False], 659, 'South', (6, 6))
Element 33: (0, (6, 6), ['.', '.', '', '%'], [(10, 8), (13, 10), (7, 1)], [False, False, False, True], 34, False, [True, True, False, False], 678, 'South', (6, 5))
Element 34: (0, (6, 5), ['.', '.', '', '%'], [(9, 8), (13, 11), (6, 1)], [False, False, False, True], 32, False, [True, True, False, False], 697, 'South', (6, 4))
Element 35: (0, (6, 4), ['.', '.', '', '%'], [(9, 9), (12, 11), (6, 2)], [False, False, False, True], 30, False, [True, True, False, False], 716, 'South', (6, 3))
Element 36: (0, (6, 3), ['.', '', '', '.'], [(10, 9), (11, 11), (6, 1)], [False, False, False, False], 28, False, [True, False, False, True], 725, 'East', (7, 3))
Element 37: (0, (7, 3), ['', '%', '%', '.'], [(10, 8), (10, 11), (7, 1)], [False, True, True, False], 26, False, [False, False, False, True], 734, 'East', (8, 3))
Element 38: (0, (8, 3), ['', '%', '', '.'], [(10, 9), (10, 10), (8, 1)], [False, True, False, False], 24, False, [False, False, False, True], 743, 'East', (9, 3))
Element 39: (0, (9, 3), ['', '%', '%', '.'], [(9, 9), (10, 9), (9, 1)], [False, True, True, False], 22, False, [False, False, False, True], 752, 'East', (10, 3))
Element 40: (0, (10, 3), ['', '%', '%', '.'], [(9, 10), (10, 8), (10, 1)], [False, True, True, False], 20, False, [False, False, False, True], 761, 'East', (11, 3))
Element 41: (0, (11, 3), ['', '%', '%', '.'], [(10, 10), (10, 7), (11, 1)], [False, True, True, False], 18, False, [False, False, False, True], 770, 'East', (12, 3))
Element 42: (0, (12, 3), ['', '%', '%', ''], [(10, 11), (11, 7), (12, 1)], [False, True, True, False], 16, False, [False, False, False, False], 779, 'East', (13, 3))
Element 43: (0, (13, 3), ['', '', '', '%'], [(9, 11), (10, 7), (13, 1)], [False, False, False, True], 14, False, [False, False, False, False], 778, 'North', (13, 4))
Element 44: (0, (13, 4), ['%', '', '', '%'], [(9, 10), (9, 7), (13, 2)], [True, False, False, True], 12, False, [False, False, False, False], 777, 'North', (13, 5))
Element 45: (0, (13, 5), ['%', '', '', '%'], [(9, 11), (9, 8), (13, 3)], [True, False, False, True], 10, False, [False, False, False, False], 776, 'North', (13, 6))
Element 46: (0, (13, 6), ['%', '', '', '%'], [(8, 11), (9, 9), (12, 3)], [True, False, False, True], 8, False, [False, False, False, False], 775, 'North', (13, 7))
Element 47: (0, (13, 7), ['%', '', '', '%'], [(7, 11), (9, 10), (11, 3)], [True, False, False, True], 6, False, [False, False, False, False], 774, 'North', (13, 8))
Element 48: (0, (13, 8), ['%', '', '', '%'], [(6, 11), (9, 11), (10, 3)], [True, False, False, True], 4, False, [False, False, False, False], 773, 'South', (13, 7))
Element 49: (0, (13, 7), ['%', '', '', '%'], [(6, 10), (8, 11), (9, 3)], [True, False, False, True], 2, False, [False, False, False, False], 772, 'South', (13, 6))
Element 50: (0, (13, 6), ['%', '', '', '%'], [(6, 9), (7, 11), (8, 3)], [True, False, False, True], 0, False, [False, False, False, False], 771, 'Stop', (13, 6))
Element 51: #0#
