Element 1: (3, (17, 11), ['.', '%', '%', ''], [(1, 10), (6, 6), (16, 7)], [False, True, True, False], 98, False, [True, False, False, False], 29, 'West', (16, 11))
Element 23: (3, (18, 2), ['%', '', '.', '%'], [(9, 8), (11, 7), (10, 7)], [True, False, False, True], 54, False, [False, False, True, False], 537, 'North', (18, 3))
Element 24: (3, (18, 3), ['%', '', '.', '%'], [(9, 9), (11, 7), (9, 7)], [True, False, False, True], 52, False, [False, False, True, False], 546, 'North', (18, 4))
Element 25: (3, (18, 4), ['%', '', '.', '%'], [(10, 9), (10, 7), (9, 8)], [True, False, False, True], 50, False, [False, False, True, False], 555, 'North', (18, 5))
Element 26: (3, (18, 5), ['%', '', '.', '%'], [(10, 8), (10, 7), (9, 9)], [True, False, False, True], 48, False, [False, False, True, False], 564, 'North', (18, 6))
Element 27: (3, (18, 6), ['%', '', '', '%'], [(10, 9), (10, 8), (9, 10)], [True, False, False, True], 46, False, [False, False, False, False], 573, 'North', (18, 7))
Element 28: (3, (18, 7), ['', '', '', '%'], [(10, 10), (9, 8), (9, 11)], [False, False, False, True], 44, False, [False, False, False, False], 572, 'North', (18, 8))
Element 29: (3, (18, 8), ['%', '', '', '%'], [(9, 10), (9, 9), (8, 11)], [True, False, False, True], 42, False, [False, False, False, False], 571, 'North', (18, 9))
Element 30: (3, (18, 9), ['%', '', '', '%'], [(9, 11), (9, 10), (7, 11)], [True, False, False, True], 40, False, [False, False, False, False], 570, 'North', (18, 10))
Element 31: (3, (18, 10), ['%', '', '', '%'], [(8, 11), (9, 9), (6, 11)], [True, False, False, True], 38, False, [False, False, False, False], 569, 'North', (18, 11))
Element 32: (3, (18, 11), ['', '', '%', '%'], [(9, 11), (9, 8), (6, 10)], [False, False, True, True], 36, False, [False, False, False, False], 568, 'South', (18, 10))
Element 33: (3, (18, 10), ['%', '', '', '%'], [(10, 11), (9, 7), (6, 9)], [True, False, False, True], 34, False, [False, False, False, False], 567, 'South', (18, 9))
Element 34: (3, (18, 9), ['%', '', '', '%'], [(11, 11), (9, 8), (7, 9)], [True, False, False, True], 32, False, [False, False, False, False], 566, 'South', (18, 8))
Element 35: (3, (18, 8), ['%', '', '', '%'], [(12, 11), (10, 8), (6, 9)], [True, False, False, True], 30, False, [False, False, False, False], 565, 'South', (18, 7))
Element 36: (3, (18, 7), ['', '', '', '%'], [(13, 11), (10, 9), (6, 8)], [False, False, False, True], 28, False, [False, False, False, False], 564, 'West', (17, 7))
Element 37: (3, (17, 7), ['', '%', '%', ''], [(13, 10), (9, 9), (6, 7)], [False, True, True, False], 26, False, [False, False, False, False], 563, 'East', (18, 7))
Element 38: (3, (18, 7), ['', '', '', '%'], [(13, 9), (10, 9), (5, 7)], [False, False, False, True], 24, False, [False, False, False, False], 572, 'South', (18, 6))
Element 39: (3, (18, 6), ['%', '', '', '%'], [(13, 8), (10, 10), (4, 7)], [True, False, False, True], 22, False, [False, False, False, False], 591, 'South', (18, 5))
Element 40: (3, (18, 5), ['%', '', '', '%'], [(13, 7), (9, 10), (4, 6)], [True, False, False, True], 20, False, [False, False, False, False], 610, 'South', (18, 4))
Element 41: (3, (18, 4), ['%', '', '', '%'], [(13, 6), (10, 10), (4, 5)], [True, False, False, True], 18, False, [False, False, False, False], 629, 'South', (18, 3))
Element 42: (3, (18, 3), ['%', '', '', '%'], [(13, 5), (10, 11), (5, 5)], [True, False, False, True], 16, False, [False, False, False, False], 648, 'South', (18, 2))
Element 43: (3, (18, 2), ['%', '', '', '%'], [(13, 4), (9, 11), (6, 5)], [True, False, False, True], 14, False, [False, False, False, False], 667, 'South', (18, 1))
Element 44: (3, (18, 1), ['', '%', '', '%'], [(13, 3), (9, 10), (6, 4)], [False, True, False, True], 12, False, [False, False, False, False], 686, 'West', (17, 1))
Element 45: (3, (17, 1), ['', '%', '%', ''], [(13, 2), (9, 11), (6, 3)], [False, True, True, False], 10, False, [False, False, False, False], 705, 'West', (16, 1))
Element 46: (3, (16, 1), ['', '%', '%', ''], [(13, 1), (8, 11), (7, 3)], [False, True, True, False], 8, False, [False, False, False, False], 724, 'West', (15, 1))
Element 47: (3, (15, 1), ['%', '%', '', ''], [(12, 1), (7, 11), (8, 3)], [True, True, False, False], 6, False, [False, False, False, False], 743, 'North', (15, 2))
Element 48: (3, (15, 2), ['%', '', '', '%'], [(11, 1), (6, 11), (9, 3)], [True, False, False, True], 4, False, [False, False, False, False], 762, 'North', (15, 3))
Element 49: (3, (15, 3), ['%', '', '', ''], [(10, 1), (6, 10), (10, 3)], [True, False, False, False], 2, False, [False, False, False, False], 781, 'East', (16, 3))
Element 50: (3, (16, 3), ['', '%', '', '%'], [(10, 1), (6, 10), (10, 3)], [False, True, False, True], 0, False, [False, False, False, False], 780, 'Stop', (16, 3))
Element 51: #0#
