Element 28: (3, (3, 13), ['', '', '%', ''], [(10, 8), (13, 8), (12, 12)], [False, False, True, False], 44, False, [False, False, False, False], 8692, 'West', (2, 13))
Element 29: (3, (2, 13), ['%', '', '%', ''], [(11, 8), (14, 8), (12, 13)], [True, False, True, False], 42, False, [False, False, False, False], 9701, 'East', (3, 13))
Element 30: (3, (3, 13), ['', '', '%', ''], [(11, 9), (15, 8), (11, 13)], [False, False, True, False], 40, False, [False, False, False, False], 9720, 'South', (3, 12))
Element 31: (3, (3, 12), ['', '', '', '%'], [(12, 9), (16, 8), (10, 13)], [False, False, False, True], 38, False, [False, False, False, False], 9739, 'South', (3, 11))
Element 32: (3, (3, 11), ['', '', '', '%'], [(13, 9), (17, 8), (10, 12)], [False, False, False, True], 36, False, [False, False, False, False], 9758, 'West', (2, 11))
Element 33: (3, (2, 11), ['', '', '', ''], [(13, 10), (18, 8), (10, 11)], [False, False, False, False], 34, False, [False, False, False, False], 9777, 'East', (3, 11))
Element 34: (3, (3, 11), ['', '', '', '%'], [(14, 10), (18, 9), (11, 11)], [False, False, False, True], 32, False, [False, False, False, False], 9796, 'North', (3, 12))
Element 35: (3, (3, 12), ['', '', '', '%'], [(15, 10), (17, 9), (10, 11)], [False, False, False, True], 30, False, [False, False, False, False], 9805, 'West', (2, 12))
Element 36: (3, (2, 12), ['', '', '', ''], [(15, 9), (16, 9), (9, 11)], [False, False, False, False], 28, False, [False, False, False, False], 9834, 'North', (2, 13))
Element 37: (3, (2, 13), ['%', '', '%', ''], [(15, 8), (16, 10), (9, 12)], [True, False, True, False], 26, False, [False, False, False, False], 9843, 'South', (2, 12))
Element 38: (3, (2, 12), ['', '', '', ''], [(15, 7), (17, 10), (9, 11)], [False, False, False, False], 24, False, [False, False, False, False], 9852, 'South', (2, 11))
Element 39: (3, (2, 11), ['', '', '', ''], [(16, 7), (18, 10), (8, 11)], [False, False, False, False], 22, False, [False, False, False, False], 9861, 'North', (2, 12))
Element 40: (3, (2, 12), ['', '', '', ''], [(16, 6), (18, 11), (7, 11)], [False, False, False, False], 20, False, [False, False, False, False], 9870, 'West', (1, 12))
Element 41: (3, (1, 12), ['%', '', '%', ''], [(17, 6), (17, 11), (7, 10)], [True, False, True, False], 18, False, [False, False, False, False], 9879, 'South', (1, 11))
Element 42: (3, (1, 11), ['%', '', '', ''], [(18, 6), (16, 11), (7, 9)], [True, False, False, False], 16, False, [False, False, False, False], 9888, 'East', (2, 11))
Element 43: (3, (2, 11), ['', '', '', ''], [(18, 5), (16, 12), (8, 9)], [False, False, False, False], 14, False, [False, False, False, False], 9897, 'West', (1, 11))
Element 44: (3, (1, 11), ['%', '', '', ''], [(18, 4), (16, 13), (8, 8)], [True, False, False, False], 12, False, [False, False, False, False], 9916, 'South', (1, 10))
Element 45: (3, (1, 10), ['%', '%', '', ''], [(17, 4), (17, 13), (9, 8)], [True, True, False, False], 10, False, [False, False, False, False], 9925, 'East', (2, 10))
Element 46: (3, (2, 10), ['', '%', '', ''], [(17, 5), (18, 13), (10, 8)], [False, True, False, False], 8, False, [False, False, False, False], 9934, 'North', (2, 11))
Element 47: (3, (2, 11), ['', '', '', ''], [(17, 4), (17, 13), (11, 8)], [False, False, False, False], 6, False, [False, False, False, False], 9933, 'South', (2, 10))
Element 48: (3, (2, 10), ['', '%', '', ''], [(17, 3), (16, 13), (11, 9)], [False, True, False, False], 4, False, [False, False, False, False], 9942, 'East', (3, 10))
Element 49: (3, (3, 10), ['', '%', '', ''], [(16, 3), (16, 12), (12, 9)], [False, True, False, False], 2, False, [False, False, False, False], 9951, 'East', (4, 10))
Element 50: (3, (4, 10), ['', '', '%', ''], [(16, 3), (16, 12), (12, 9)], [False, False, True, False], 0, False, [False, False, False, False], 9950, 'Stop', (4, 10))
Element 51: #0#
