Element 29: (1, (16, 9), ['.', '', '', ''], [(9, 10), (16, 4), (11, 10)], [False, False, False, False], 42, False, [True, False, False, False], 4821, 'West', (15, 9))
Element 30: (1, (15, 9), ['%', '', '', ''], [(9, 11), (15, 4), (12, 10)], [True, False, False, False], 40, False, [False, False, False, False], 4840, 'North', (15, 10))
Element 31: (1, (15, 10), ['', '', '', ''], [(9, 12), (15, 5), (11, 10)], [False, False, False, False], 38, False, [False, False, False, False], 4849, 'East', (16, 10))
Element 32: (1, (16, 10), ['', '', '', ''], [(9, 11), (14, 5), (10, 10)], [False, False, False, False], 36, False, [False, False, False, False], 4858, 'East', (17, 10))
Element 33: (1, (17, 10), ['', '', '', ''], [(8, 11), (14, 6), (10, 11)], [False, False, False, False], 34, False, [False, False, False, False], 4877, 'East', (18, 10))
Element 34: (1, (18, 10), ['', '', '', '%'], [(7, 11), (14, 7), (10, 12)], [False, False, False, True], 32, False, [False, False, False, False], 5886, 'North', (18, 11))
Element 35: (1, (18, 11), ['', '', '%', '%'], [(7, 10), (13, 7), (10, 13)], [False, False, True, True], 30, False, [False, False, False, False], 5905, 'West', (17, 11))
Element 36: (1, (17, 11), ['', '', '%', ''], [(7, 9), (13, 6), (11, 13)], [False, False, True, False], 28, False, [False, False, False, False], 6914, 'West', (16, 11))
Element 37: (1, (16, 11), ['', '', '', ''], [(6, 9), (13, 5), (12, 13)], [False, False, False, False], 26, False, [False, False, False, False], 7923, 'North', (16, 12))
Element 38: (1, (16, 12), ['', '', '', '%'], [(6, 10), (12, 5), (12, 12)], [False, False, False, True], 24, False, [False, False, False, False], 7942, 'North', (16, 13))
Element 39: (1, (16, 13), ['%', '', '%', ''], [(6, 11), (12, 6), (12, 13)], [True, False, True, False], 22, False, [False, False, False, False], 7961, 'East', (17, 13))
Element 40: (1, (17, 13), ['', '%', '%', ''], [(5, 11), (12, 7), (11, 13)], [False, True, True, False], 20, False, [False, False, False, False], 7980, 'East', (18, 13))
Element 41: (1, (18, 13), ['', '%', '%', '%'], [(5, 10), (12, 6), (10, 13)], [False, True, True, True], 18, False, [False, False, False, False], 7989, 'West', (17, 13))
Element 42: (1, (17, 13), ['', '%', '%', ''], [(5, 9), (12, 5), (10, 12)], [False, True, True, False], 16, False, [False, False, False, False], 7998, 'West', (16, 13))
Element 43: (1, (16, 13), ['%', '', '%', ''], [(4, 9), (13, 5), (9, 12)], [True, False, True, False], 14, False, [False, False, False, False], 8007, 'South', (16, 12))
Element 44: (1, (16, 12), ['', '', '', '%'], [(4, 10), (13, 6), (9, 11)], [False, False, False, True], 12, False, [False, False, False, False], 8016, 'West', (15, 12))
Element 45: (1, (15, 12), ['', '', '%', ''], [(3, 10), (12, 6), (9, 10)], [False, False, True, False], 10, False, [False, False, False, False], 8025, 'South', (15, 11))
Element 46: (1, (15, 11), ['', '', '', ''], [(3, 11), (13, 6), (9, 9)], [False, False, False, False], 8, False, [False, False, False, False], 8044, 'West', (14, 11))
Element 47: (1, (14, 11), ['', '', '', ''], [(3, 12), (13, 7), (8, 9)], [False, False, False, False], 6, False, [False, False, False, False], 8063, 'North', (14, 12))
Element 48: (1, (14, 12), ['', '', '%', ''], [(3, 13), (12, 7), (8, 10)], [False, False, True, False], 4, False, [False, False, False, False], 8082, 'West', (13, 12))
Element 49: (1, (13, 12), ['', '', '%', ''], [(4, 13), (13, 7), (8, 11)], [False, False, True, False], 2, False, [False, False, False, False], 9081, 'South', (13, 11))
Element 50: (1, (13, 11), ['', '', '', ''], [(4, 13), (13, 8), (7, 11)], [False, False, False, False], 0, False, [False, False, False, False], 9080, 'Stop', (13, 11))
Element 51: #0#
