Element 31: (1, (14, 8), ['', '.', '%', ''], [(13, 11), (15, 4), (18, 4)], [False, False, True, False], 38, False, [False, True, False, False], 8899, 'South', (14, 7))
Element 32: (1, (14, 7), ['.', '.', '', ''], [(12, 11), (15, 5), (17, 4)], [False, False, False, False], 36, False, [True, True, False, False], 8918, 'South', (14, 6))
Element 33: (1, (14, 6), ['.', 'G', '', ''], [(12, 12), (14, 5), (17, 5)], [False, False, False, False], 34, False, [True, False, False, False], 8947, 'West', (13, 6))
Element 34: (1, (13, 6), ['.', 'G', '.', ''], [(12, 13), (13, 5), (17, 4)], [False, False, False, False], 32, False, [True, False, True, False], 9966, 'North', (13, 7))
Element 35: (1, (13, 7), ['.', '', '', ''], [(11, 13), (12, 5), (17, 3)], [False, False, False, False], 30, False, [True, False, False, False], 9995, 'West', (12, 7))
Element 36: (1, (12, 7), ['%', 'G', '%', ''], [(10, 13), (12, 6), (16, 3)], [True, False, True, False], 28, False, [False, False, False, False], 10024, 'East', (13, 7))
Element 37: (1, (13, 7), ['', 'G', '', ''], [(10, 12), (13, 6), (16, 4)], [False, False, False, False], 26, False, [False, False, False, False], 10033, 'West', (12, 7))
Element 38: (1, (12, 7), ['%', '', '%', ''], [(10, 11), (14, 6), (15, 4)], [True, False, True, False], 24, False, [False, False, False, False], 10042, 'South', (12, 6))
Element 39: (1, (12, 6), ['%', '', '', ''], [(11, 11), (14, 7), (15, 5)], [True, False, False, False], 22, False, [False, False, False, False], 10051, 'South', (12, 5))
Element 40: (1, (12, 5), ['%', '%', '', ''], [(10, 11), (15, 7), (15, 6)], [True, True, False, False], 20, False, [False, False, False, False], 10050, 'East', (13, 5))
Element 41: (1, (13, 5), ['', '%', '', ''], [(9, 11), (16, 7), (14, 6)], [False, True, False, False], 18, False, [False, False, False, False], 10059, 'East', (14, 5))
Element 42: (1, (14, 5), ['', '%', '', ''], [(9, 12), (16, 8), (14, 7)], [False, True, False, False], 16, False, [False, False, False, False], 10068, 'East', (15, 5))
Element 43: (1, (15, 5), ['', '', '', '%'], [(9, 11), (17, 8), (14, 8)], [False, False, False, True], 14, False, [False, False, False, False], 10067, 'North', (15, 6))
Element 44: (1, (15, 6), ['', '', '', ''], [(8, 11), (18, 8), (13, 8)], [False, False, False, False], 12, False, [False, False, False, False], 10076, 'East', (16, 6))
Element 45: (1, (16, 6), ['', '%', '', ''], [(7, 11), (18, 9), (13, 9)], [False, True, False, False], 10, False, [False, False, False, False], 11075, 'East', (17, 6))
Element 46: (1, (17, 6), ['', '', '%', ''], [(7, 10), (18, 10), (13, 10)], [False, False, True, False], 8, False, [False, False, False, False], 11084, 'East', (18, 6))
Element 47: (1, (18, 6), ['', '', '%', '%'], [(8, 10), (18, 11), (14, 10)], [False, False, True, True], 6, False, [False, False, False, False], 11093, 'South', (18, 5))
Element 48: (1, (18, 5), ['', '', '', '%'], [(7, 10), (17, 11), (14, 11)], [False, False, False, True], 4, False, [False, False, False, False], 11092, 'South', (18, 4))
Element 49: (1, (18, 4), ['', '%', '', '%'], [(7, 11), (17, 10), (14, 12)], [False, True, False, True], 2, False, [False, False, False, False], 11091, 'West', (17, 4))
Element 50: (1, (17, 4), ['', '', '', ''], [(7, 11), (17, 9), (13, 12)], [False, False, False, False], 0, False, [False, False, False, False], 11090, 'Stop', (17, 4))
Element 51: #0#
