Element 1: (0, (2, 7), ['.', 'G', '%', '.'], [(2, 6), (7, 3), (14, 2)], [False, False, True, False], 98, False, [True, False, False, True], 0, 'East', (3, 7))
Element 14: (0, (5, 3), ['%', '.', '', 'G'], [(6, 3), (12, 9), (16, 7)], [True, False, False, False], 72, False, [False, True, False, False], 3387, 'South', (5, 2))
Element 15: (0, (5, 2), ['.', '%', '', 'G'], [(6, 2), (13, 9), (16, 8)], [False, True, False, False], 70, False, [True, False, False, False], 3426, 'West', (4, 2))
Element 16: (0, (4, 2), ['.', '.', '%', ''], [(7, 2), (13, 10), (17, 8)], [False, False, True, False], 68, False, [True, True, False, False], 3465, 'South', (4, 1))
Element 17: (0, (4, 1), ['.', '%', '', '%'], [(8, 2), (14, 10), (18, 8)], [False, True, False, True], 66, False, [True, False, False, False], 3504, 'West', (3, 1))
Element 18: (0, (3, 1), ['F', '%', '.', ''], [(9, 2), (15, 10), (18, 9)], [False, True, False, False], 64, False, [False, False, True, False], 3543, 'West', (2, 1))
Element 19: (0, (2, 1), ['.', '%', '.', ''], [(9, 1), (16, 10), (18, 10)], [False, True, False, False], 62, False, [True, False, True, False], 5562, 'North', (2, 2))
Element 20: (0, (2, 2), ['.', '', '%', '.'], [(10, 1), (17, 10), (18, 11)], [False, False, True, False], 60, False, [True, False, False, True], 5601, 'East', (3, 2))
Element 21: (0, (3, 2), ['', '', '%', ''], [(11, 1), (17, 11), (18, 10)], [False, False, True, False], 58, False, [False, False, False, False], 5630, 'West', (2, 2))
Element 22: (0, (2, 2), ['.', '', '%', ''], [(12, 1), (16, 11), (18, 9)], [False, False, True, False], 56, False, [True, False, False, False], 5649, 'West', (1, 2))
Element 23: (0, (1, 2), ['%', '.', '%', ''], [(13, 1), (16, 12), (17, 9)], [True, False, True, False], 54, False, [False, True, False, False], 5688, 'South', (1, 1))
Element 24: (0, (1, 1), ['%', '%', '', ''], [(14, 1), (16, 13), (16, 9)], [True, True, False, False], 52, False, [False, False, False, False], 5727, 'North', (1, 2))
Element 25: (0, (1, 2), ['%', '', '%', ''], [(14, 2), (17, 13), (15, 9)], [True, False, True, False], 50, False, [False, False, False, False], 5746, 'East', (2, 2))
Element 26: (0, (2, 2), ['', '', '%', ''], [(14, 3), (18, 13), (15, 8)], [False, False, True, False], 48, False, [False, False, False, False], 5775, 'South', (2, 1))
Element 27: (0, (2, 1), ['', '%', '', ''], [(13, 3), (17, 13), (15, 7)], [False, True, False, False], 46, False, [False, False, False, False], 5794, 'West', (1, 1))
Element 28: (0, (1, 1), ['%', '%', '', ''], [(12, 3), (16, 13), (15, 6)], [True, True, False, False], 44, False, [False, False, False, False], 5813, 'East', (2, 1))
Element 29: (0, (2, 1), ['', '%', '', ''], [(12, 2), (16, 12), (15, 5)], [False, True, False, False], 42, False, [False, False, False, False], 5832, 'East', (3, 1))
Element 30: (0, (3, 1), ['', '%', '', ''], [(11, 2), (15, 12), (15, 4)], [False, True, False, False], 40, False, [False, False, False, False], 5861, 'North', (3, 2))
Element 31: (0, (3, 2), ['', '', '%', ''], [(11, 3), (15, 11), (16, 4)], [False, False, True, False], 38, False, [False, False, False, False], 5890, 'South', (3, 1))
Element 32: (0, (3, 1), ['', '%', '', ''], [(10, 3), (14, 11), (15, 4)], [False, True, False, False], 36, False, [False, False, False, False], 5909, 'East', (4, 1))
Element 33: (0, (4, 1), ['', '%', '', '%'], [(10, 2), (14, 12), (15, 5)], [False, True, False, True], 34, False, [False, False, False, False], 5928, 'North', (4, 2))
Element 34: (0, (4, 2), ['', '', '%', ''], [(10, 3), (13, 12), (14, 5)], [False, False, True, False], 32, False, [False, False, False, False], 5947, 'West', (3, 2))
Element 35: (0, (3, 2), ['', '', '%', ''], [(10, 4), (13, 11), (14, 6)], [False, False, True, False], 30, False, [False, False, False, False], 5966, 'East', (4, 2))
Element 36: (0, (4, 2), ['', '', '%', ''], [(10, 5), (12, 11), (14, 7)], [False, False, True, False], 28, False, [False, False, False, False], 5985, 'East', (5, 2))
Element 37: (0, (5, 2), ['', '%', '', ''], [(9, 5), (12, 12), (14, 8)], [False, True, False, False], 26, False, [False, False, False, False], 6014, 'North', (5, 3))
Element 38: (0, (5, 3), ['%', '', '', ''], [(9, 6), (12, 13), (13, 8)], [True, False, False, False], 24, False, [False, False, False, False], 7033, 'North', (5, 4))
Element 39: (0, (5, 4), ['.', '', '', ''], [(10, 6), (11, 13), (13, 7)], [False, False, False, False], 22, False, [True, False, False, False], 7052, 'West', (4, 4))
Element 40: (0, (4, 4), ['%', '%', '', ''], [(10, 7), (10, 13), (13, 6)], [True, True, False, False], 20, False, [False, False, False, False], 7081, 'East', (5, 4))
Element 41: (0, (5, 4), ['', '', '', ''], [(10, 8), (10, 12), (13, 5)], [False, False, False, False], 18, False, [False, False, False, False], 7100, 'North', (5, 5))
Element 42: (0, (5, 5), ['', '', '', ''], [(11, 8), (10, 11), (12, 5)], [False, False, False, False], 16, False, [False, False, False, False], 7119, 'East', (6, 5))
Element 43: (0, (6, 5), ['', '', '', ''], [(11, 9), (11, 11), (12, 6)], [False, False, False, False], 14, False, [False, False, False, False], 7138, 'East', (7, 5))
Element 44: (0, (7, 5), ['', '', '%', '%'], [(11, 10), (10, 11), (12, 7)], [False, False, True, True], 12, False, [False, False, False, False], 7157, 'South', (7, 4))
Element 45: (0, (7, 4), ['', '', '', ''], [(12, 10), (10, 10), (12, 6)], [False, False, False, False], 10, False, [False, False, False, False], 7176, 'East', (8, 4))
Element 46: (0, (8, 4), ['', '%', '%', ''], [(13, 10), (9, 10), (12, 5)], [False, True, True, False], 8, False, [False, False, False, False], 7185, 'East', (9, 4))
Element 47: (0, (9, 4), ['', '%', '', ''], [(14, 10), (9, 11), (13, 5)], [False, True, False, False], 6, False, [False, False, False, False], 7194, 'East', (10, 4))
Element 48: (0, (10, 4), ['', '', '', '%'], [(15, 10), (9, 12), (13, 6)], [False, False, False, True], 4, False, [False, False, False, False], 7203, 'North', (10, 5))
Element 49: (0, (10, 5), ['', '', '', '%'], [(16, 10), (9, 11), (12, 6)], [False, False, False, True], 2, False, [False, False, False, False], 7202, 'North', (10, 6))
Element 50: (0, (10, 6), ['', '', '', '%'], [(17, 10), (8, 11), (13, 6)], [False, False, False, True], 0, False, [False, False, False, False], 7211, 'Stop', (10, 6))
Element 51: #0#
