Element 34: (1, (14, 5), ['.', '.', '', ''], [(7, 12), (12, 13), (16, 2)], [False, False, False, False], 32, False, [True, True, False, False], 3696, 'South', (14, 4))
Element 35: (1, (14, 4), ['.', '%', '', ''], [(7, 13), (11, 13), (16, 1)], [False, True, False, False], 30, False, [True, False, False, False], 3725, 'West', (13, 4))
Element 36: (1, (13, 4), ['.', '.', '.', ''], [(6, 13), (10, 13), (17, 1)], [False, False, False, False], 28, False, [True, True, True, False], 3754, 'North', (13, 5))
Element 37: (1, (13, 5), ['.', '', '%', ''], [(6, 12), (10, 12), (16, 1)], [False, False, True, False], 26, False, [True, False, False, False], 3773, 'West', (12, 5))
Element 38: (1, (12, 5), ['F', '.', '.', ''], [(5, 12), (10, 11), (15, 1)], [False, False, False, False], 24, False, [False, True, True, False], 3802, 'West', (11, 5))
Element 39: (1, (11, 5), ['.', '.', '.', ''], [(5, 13), (11, 11), (14, 1)], [False, False, False, False], 22, False, [True, True, True, False], 4821, 'North', (11, 6))
Element 40: (1, (11, 6), ['.', '', '.', '.'], [(4, 13), (12, 11), (13, 1)], [False, False, False, False], 20, False, [True, False, True, True], 4850, 'East', (12, 6))
Element 41: (1, (12, 6), ['', '', '.', '%'], [(4, 12), (12, 10), (12, 1)], [False, False, False, True], 18, False, [False, False, True, False], 4879, 'North', (12, 7))
Element 42: (1, (12, 7), ['.', '', '.', '.'], [(4, 11), (11, 10), (11, 1)], [False, False, False, False], 16, False, [True, False, True, True], 4908, 'East', (13, 7))
Element 43: (1, (13, 7), ['', '%', '.', ''], [(5, 11), (10, 10), (10, 1)], [False, True, False, False], 14, False, [False, False, True, False], 4937, 'North', (13, 8))
Element 44: (1, (13, 8), ['.', '', '', ''], [(5, 10), (9, 10), (9, 1)], [False, False, False, False], 12, False, [True, False, False, False], 4966, 'West', (12, 8))
Element 45: (1, (12, 8), ['%', '', '', ''], [(4, 10), (9, 11), (8, 1)], [True, False, False, False], 10, False, [False, False, False, False], 4995, 'North', (12, 9))
Element 46: (1, (12, 9), ['', '', '', ''], [(3, 10), (9, 12), (8, 2)], [False, False, False, False], 8, False, [False, False, False, False], 5014, 'East', (13, 9))
Element 47: (1, (13, 9), ['', '', '', ''], [(3, 11), (9, 13), (8, 3)], [False, False, False, False], 6, False, [False, False, False, False], 5033, 'East', (14, 9))
Element 48: (1, (14, 9), ['', '', '', ''], [(3, 12), (8, 13), (9, 3)], [False, False, False, False], 4, False, [False, False, False, False], 5052, 'East', (15, 9))
Element 49: (1, (15, 9), ['', '', '', ''], [(3, 13), (8, 12), (10, 3)], [False, False, False, False], 2, False, [False, False, False, False], 5071, 'North', (15, 10))
Element 50: (1, (15, 10), ['', '', '', ''], [(3, 13), (8, 11), (11, 3)], [False, False, False, False], 0, False, [False, False, False, False], 5080, 'Stop', (15, 10))
Element 51: #0#
