Element 30: (1, (14, 8), ['', '', '', ''], [(12, 5), (7, 10), (7, 1)], [False, False, False, False], 40, False, [False, False, False, False], 4020, 'East', (15, 8))
Element 31: (1, (15, 8), ['', '%', '', ''], [(11, 5), (7, 9), (6, 1)], [False, True, False, False], 38, False, [False, False, False, False], 5039, 'East', (16, 8))
Element 32: (1, (16, 8), ['', '', '', ''], [(11, 6), (7, 8), (5, 1)], [False, False, False, False], 36, False, [False, False, False, False], 5068, 'East', (17, 8))
Element 33: (1, (17, 8), ['', '', '%', ''], [(11, 7), (8, 8), (5, 2)], [False, False, True, False], 34, False, [False, False, False, False], 5097, 'East', (18, 8))
Element 34: (1, (18, 8), ['', '', '%', '%'], [(11, 6), (7, 8), (5, 3)], [False, False, True, True], 32, False, [False, False, False, False], 5106, 'South', (18, 7))
Element 35: (1, (18, 7), ['', '', '', '%'], [(10, 6), (6, 8), (5, 4)], [False, False, False, True], 30, False, [False, False, False, False], 5135, 'South', (18, 6))
Element 36: (1, (18, 6), ['', '%', '', '%'], [(10, 5), (6, 9), (5, 5)], [False, True, False, True], 28, False, [False, False, False, False], 5164, 'West', (17, 6))
Element 37: (1, (17, 6), ['', '%', '', ''], [(10, 6), (6, 10), (4, 5)], [False, True, False, False], 26, False, [False, False, False, False], 5183, 'North', (17, 7))
Element 38: (1, (17, 7), ['', '', '', ''], [(11, 6), (6, 11), (4, 4)], [False, False, False, False], 24, False, [False, False, False, False], 5202, 'West', (16, 7))
Element 39: (1, (16, 7), ['%', '', '', ''], [(11, 5), (6, 12), (4, 3)], [True, False, False, False], 22, False, [False, False, False, False], 5211, 'South', (16, 6))
Element 40: (1, (16, 6), ['', '%', '', ''], [(11, 4), (6, 13), (4, 2)], [False, True, False, False], 20, False, [False, False, False, False], 5240, 'West', (15, 6))
Element 41: (1, (15, 6), ['', '', '%', ''], [(12, 4), (7, 13), (3, 2)], [False, False, True, False], 18, False, [False, False, False, False], 5269, 'South', (15, 5))
Element 42: (1, (15, 5), ['', '', '', '%'], [(11, 4), (8, 13), (3, 3)], [False, False, False, True], 16, False, [False, False, False, False], 5288, 'South', (15, 4))
Element 43: (1, (15, 4), ['', '', '', '%'], [(11, 5), (9, 13), (2, 3)], [False, False, False, True], 14, False, [False, False, False, False], 5307, 'South', (15, 3))
Element 44: (1, (15, 3), ['%', '%', '', ''], [(10, 5), (10, 13), (2, 4)], [True, True, False, False], 12, False, [False, False, False, False], 5316, 'East', (16, 3))
Element 45: (1, (16, 3), ['', '', '%', '.'], [(11, 5), (11, 13), (2, 5)], [False, False, True, False], 10, False, [False, False, False, True], 5325, 'East', (17, 3))
Element 46: (1, (17, 3), ['', '%', '%', '.'], [(12, 5), (12, 13), (3, 5)], [False, True, True, False], 8, False, [False, False, False, True], 5344, 'East', (18, 3))
Element 47: (1, (18, 3), ['', '%', '%', '%'], [(13, 5), (11, 13), (3, 4)], [False, True, True, True], 6, False, [False, False, False, False], 5373, 'West', (17, 3))
Element 48: (1, (17, 3), ['', '%', '%', ''], [(12, 5), (10, 13), (3, 5)], [False, True, True, False], 4, False, [False, False, False, False], 5372, 'West', (16, 3))
Element 49: (1, (16, 3), ['', '', '%', ''], [(12, 4), (10, 12), (2, 5)], [False, False, True, False], 2, False, [False, False, False, False], 5371, 'South', (16, 2))
Element 50: (1, (16, 2), ['%', '', '', '%'], [(12, 4), (9, 12), (2, 6)], [True, False, False, True], 0, False, [False, False, False, False], 5380, 'Stop', (16, 2))
Element 51: #0#
