Element 1: (1, (5, 10), ['.', '.', '.', ''], [(7, 10), (13, 9), (15, 3)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (5, 11))
Element 28: (1, (11, 13), ['', '%', '%', ''], [(11, 11), (5, 12), (17, 6)], [False, True, True, False], 44, False, [False, False, False, False], 3712, 'West', (10, 13))
Element 29: (1, (10, 13), ['', '', '%', ''], [(11, 10), (5, 13), (18, 6)], [False, False, True, False], 42, False, [False, False, False, False], 3741, 'South', (10, 12))
Element 30: (1, (10, 12), ['', '', '', '%'], [(10, 10), (4, 13), (18, 7)], [False, False, False, True], 40, False, [False, False, False, False], 3770, 'West', (9, 12))
Element 31: (1, (9, 12), ['', '', '', ''], [(9, 10), (4, 12), (18, 8)], [False, False, False, False], 38, False, [False, False, False, False], 3799, 'North', (9, 13))
Element 32: (1, (9, 13), ['', '', '%', ''], [(9, 11), (4, 11), (17, 8)], [False, False, True, False], 36, False, [False, False, False, False], 3818, 'West', (8, 13))
Element 33: (1, (8, 13), ['', '', '%', ''], [(10, 11), (4, 10), (17, 7)], [False, False, True, False], 34, False, [False, False, False, False], 3837, 'South', (8, 12))
Element 34: (1, (8, 12), ['', '', '', ''], [(10, 12), (4, 9), (16, 7)], [False, False, False, False], 32, False, [False, False, False, False], 3856, 'West', (7, 12))
Element 35: (1, (7, 12), ['', '', '', ''], [(10, 13), (5, 9), (16, 8)], [False, False, False, False], 30, False, [False, False, False, False], 3875, 'North', (7, 13))
Element 36: (1, (7, 13), ['', '', '%', ''], [(11, 13), (6, 9), (15, 8)], [False, False, True, False], 28, False, [False, False, False, False], 3894, 'West', (6, 13))
Element 37: (1, (6, 13), ['', '', '%', ''], [(12, 13), (7, 9), (14, 8)], [False, False, True, False], 26, False, [False, False, False, False], 3913, 'South', (6, 12))
Element 38: (1, (6, 12), ['', '', '', ''], [(13, 13), (7, 8), (14, 7)], [False, False, False, False], 24, False, [False, False, False, False], 3932, 'West', (5, 12))
Element 39: (1, (5, 12), ['', '', '', ''], [(14, 13), (8, 8), (14, 6)], [False, False, False, False], 22, False, [False, False, False, False], 3951, 'North', (5, 13))
Element 40: (1, (5, 13), ['', '', '%', ''], [(13, 13), (8, 9), (14, 5)], [False, False, True, False], 20, False, [False, False, False, False], 3960, 'West', (4, 13))
Element 41: (1, (4, 13), ['.', '', '%', ''], [(12, 13), (9, 9), (13, 5)], [False, False, True, False], 18, False, [True, False, False, False], 3969, 'West', (3, 13))
Element 42: (1, (3, 13), ['.', '.', '%', ''], [(11, 13), (10, 9), (12, 5)], [False, False, True, False], 16, False, [True, True, False, False], 3988, 'South', (3, 12))
Element 43: (1, (3, 12), ['.', '.', '', ''], [(10, 13), (11, 9), (11, 5)], [False, False, False, False], 14, False, [True, True, False, False], 4997, 'South', (3, 11))
Element 44: (1, (3, 11), ['%', '.', '', ''], [(9, 13), (12, 9), (11, 6)], [True, False, False, False], 12, False, [False, True, False, False], 5016, 'South', (3, 10))
Element 45: (1, (3, 10), ['.', '.', '', ''], [(9, 12), (12, 8), (12, 6)], [False, False, False, False], 10, False, [True, True, False, False], 5045, 'South', (3, 9))
Element 46: (1, (3, 9), ['%', '%', '', ''], [(8, 12), (13, 8), (12, 7)], [True, True, False, False], 8, False, [False, False, False, False], 5074, 'East', (4, 9))
Element 47: (1, (4, 9), ['', '.', '', ''], [(8, 13), (13, 7), (11, 7)], [False, False, False, False], 6, False, [False, True, False, False], 5093, 'South', (4, 8))
Element 48: (1, (4, 8), ['%', '%', '', '.'], [(7, 13), (14, 7), (12, 7)], [True, True, False, False], 4, False, [False, False, False, True], 5102, 'East', (5, 8))
Element 49: (1, (5, 8), ['', '%', '', '.'], [(7, 12), (14, 8), (12, 8)], [False, True, False, False], 2, False, [False, False, False, True], 5111, 'East', (6, 8))
Element 50: (1, (6, 8), ['', '%', '', ''], [(7, 12), (15, 8), (13, 8)], [False, True, False, False], 0, False, [False, False, False, False], 5120, 'Stop', (6, 8))
Element 51: #0#
