Element 1: (1, (2, 10), ['F', '%', '%', '.'], [(10, 6), (12, 9), (16, 13)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'West', (1, 10))
Element 19: (1, (9, 11), ['.', '', '', ''], [(14, 8), (10, 9), (8, 13)], [False, False, False, False], 62, False, [True, False, False, False], 4611, 'West', (8, 11))
Element 20: (1, (8, 11), ['.', '', 'G', ''], [(14, 7), (10, 10), (8, 12)], [False, False, False, False], 60, False, [True, False, False, False], 4640, 'West', (7, 11))
Element 21: (1, (7, 11), ['.', '', 'G', ''], [(14, 6), (10, 11), (7, 12)], [False, False, False, False], 58, False, [True, False, False, False], 4669, 'West', (6, 11))
Element 22: (1, (6, 11), ['.', '', '.', ''], [(14, 7), (10, 12), (7, 13)], [False, False, False, False], 56, False, [True, False, True, False], 4688, 'North', (6, 12))
Element 23: (1, (6, 12), ['.', '', 'G', ''], [(13, 7), (10, 13), (6, 13)], [False, False, False, False], 54, False, [True, False, False, False], 4717, 'West', (5, 12))
Element 24: (1, (5, 12), ['.', '.', 'G', ''], [(13, 8), (11, 13), (5, 13)], [False, False, False, False], 52, False, [True, True, False, False], 4746, 'South', (5, 11))
Element 25: (1, (5, 11), ['.', '', '', ''], [(12, 8), (12, 13), (4, 13)], [False, False, False, False], 50, False, [True, False, False, False], 4775, 'West', (4, 11))
Element 26: (1, (4, 11), ['.', '', 'G', ''], [(12, 7), (13, 13), (4, 12)], [False, False, False, False], 48, False, [True, False, False, False], 4804, 'West', (3, 11))
Element 27: (1, (3, 11), ['%', '', 'G', ''], [(12, 6), (14, 13), (3, 12)], [True, False, False, False], 46, False, [False, False, False, False], 4833, 'East', (4, 11))
Element 28: (1, (4, 11), ['', '', '', ''], [(12, 7), (15, 13), (3, 13)], [False, False, False, False], 44, False, [False, False, False, False], 4842, 'East', (5, 11))
Element 29: (1, (5, 11), ['', '', '', ''], [(11, 7), (16, 13), (2, 13)], [False, False, False, False], 42, False, [False, False, False, False], 4861, 'North', (5, 12))
Element 30: (1, (5, 12), ['', '', '', ''], [(12, 7), (17, 13), (2, 12)], [False, False, False, False], 40, False, [False, False, False, False], 4870, 'West', (4, 12))
Element 31: (1, (4, 12), ['', '', '', ''], [(12, 8), (18, 13), (1, 12)], [False, False, False, False], 38, False, [False, False, False, False], 4879, 'North', (4, 13))
Element 32: (1, (4, 13), ['', '', '%', ''], [(12, 9), (17, 13), (1, 13)], [False, False, True, False], 36, False, [False, False, False, False], 4888, 'East', (5, 13))
Element 33: (1, (5, 13), ['', '', '%', ''], [(13, 9), (17, 12), (1, 12)], [False, False, True, False], 34, False, [False, False, False, False], 4887, 'East', (6, 13))
Element 34: (1, (6, 13), ['', '', '%', ''], [(14, 9), (16, 12), (2, 12)], [False, False, True, False], 32, False, [False, False, False, False], 4886, 'East', (7, 13))
Element 35: (1, (7, 13), ['', '', '%', ''], [(15, 9), (15, 12), (2, 13)], [False, False, True, False], 30, False, [False, False, False, False], 4885, 'East', (8, 13))
Element 36: (1, (8, 13), ['', '', '%', ''], [(16, 9), (14, 12), (1, 13)], [False, False, True, False], 28, False, [False, False, False, False], 4884, 'East', (9, 13))
Element 37: (1, (9, 13), ['', '', '%', ''], [(16, 10), (13, 12), (2, 13)], [False, False, True, False], 26, False, [False, False, False, False], 4883, 'East', (10, 13))
Element 38: (1, (10, 13), ['', '', '%', ''], [(16, 11), (14, 12), (3, 13)], [False, False, True, False], 24, False, [False, False, False, False], 4882, 'East', (11, 13))
Element 39: (1, (11, 13), ['', '%', '%', ''], [(16, 12), (15, 12), (3, 12)], [False, True, True, False], 22, False, [False, False, False, False], 4881, 'East', (12, 13))
Element 40: (1, (12, 13), ['', '%', '%', ''], [(17, 12), (14, 12), (2, 12)], [False, True, True, False], 20, False, [False, False, False, False], 4880, 'East', (13, 13))
Element 41: (1, (13, 13), ['', 'G', '%', ''], [(17, 13), (13, 12), (3, 12)], [False, False, True, False], 18, False, [False, False, False, False], 4879, 'East', (14, 13))
Element 42: (1, (14, 13), ['', '', '%', ''], [(18, 13), (13, 11), (3, 11)], [False, False, True, False], 16, False, [False, False, False, False], 4878, 'East', (15, 13))
Element 43: (1, (15, 13), ['', '', '%', ''], [(17, 13), (13, 12), (4, 11)], [False, False, True, False], 14, False, [False, False, False, False], 4877, 'East', (16, 13))
Element 44: (1, (16, 13), ['', '', '%', ''], [(17, 12), (14, 12), (5, 11)], [False, False, True, False], 12, False, [False, False, False, False], 4876, 'East', (17, 13))
Element 45: (1, (17, 13), ['', '', '%', ''], [(16, 12), (14, 13), (6, 11)], [False, False, True, False], 10, False, [False, False, False, False], 4875, 'East', (18, 13))
Element 46: (1, (18, 13), ['', '%', '%', '%'], [(17, 12), (15, 13), (7, 11)], [False, True, True, True], 8, False, [False, False, False, False], 4874, 'West', (17, 13))
Element 47: (1, (17, 13), ['', '', '%', ''], [(16, 12), (15, 12), (8, 11)], [False, False, True, False], 6, False, [False, False, False, False], 4873, 'South', (17, 12))
Element 48: (1, (17, 12), ['', '%', '', '%'], [(16, 13), (15, 13), (9, 11)], [False, True, False, True], 4, False, [False, False, False, False], 4872, 'West', (16, 12))
Element 49: (1, (16, 12), ['', '', '', ''], [(15, 13), (14, 13), (10, 11)], [False, False, False, False], 2, False, [False, False, False, False], 4871, 'South', (16, 11))
Element 50: (1, (16, 11), ['', '', '', '%'], [(15, 13), (14, 12), (11, 11)], [False, False, False, True], 0, False, [False, False, False, False], 4870, 'Stop', (16, 11))
Element 51: #0#
