Element 1: (2, (4, 5), ['', '.', '%', '.'], [(6, 1), (3, 4), (13, 1)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'East', (5, 5))
Element 18: (2, (18, 8), ['.', '', '%', '%'], [(17, 3), (12, 6), (15, 8)], [False, False, True, True], 64, False, [True, False, False, False], 2522, 'West', (17, 8))
Element 19: (2, (17, 8), ['G', '.', '%', ''], [(16, 3), (12, 7), (16, 8)], [False, False, True, False], 62, False, [False, True, False, False], 2551, 'South', (17, 7))
Element 20: (2, (17, 7), ['.', '', '', ''], [(15, 3), (13, 7), (16, 9)], [False, False, False, False], 60, False, [True, False, False, False], 3570, 'West', (16, 7))
Element 21: (2, (16, 7), ['%', '', '', ''], [(15, 4), (13, 8), (16, 10)], [True, False, False, False], 58, False, [False, False, False, False], 3599, 'North', (16, 8))
Element 22: (2, (16, 8), ['', '', '', ''], [(15, 5), (13, 9), (16, 11)], [False, False, False, False], 56, False, [False, False, False, False], 3618, 'North', (16, 9))
Element 23: (2, (16, 9), ['.', '', '', '%'], [(15, 6), (14, 9), (16, 12)], [False, False, False, True], 54, False, [True, False, False, False], 3637, 'West', (15, 9))
Element 24: (2, (15, 9), ['', '', '.', ''], [(16, 6), (14, 10), (17, 12)], [False, False, False, False], 52, False, [False, False, True, False], 3666, 'North', (15, 10))
Element 25: (2, (15, 10), ['', '', '.', ''], [(17, 6), (14, 11), (17, 13)], [False, False, False, False], 50, False, [False, False, True, False], 3695, 'North', (15, 11))
Element 26: (2, (15, 11), ['', '', '.', ''], [(18, 6), (14, 12), (18, 13)], [False, False, False, False], 48, False, [False, False, True, False], 3724, 'North', (15, 12))
Element 27: (2, (15, 12), ['', '', '.', ''], [(18, 7), (14, 13), (17, 13)], [False, False, False, False], 46, False, [False, False, True, False], 3743, 'North', (15, 13))
Element 28: (2, (15, 13), ['', '', '%', 'G'], [(18, 8), (13, 13), (16, 13)], [False, False, True, False], 44, False, [False, False, False, False], 3772, 'West', (14, 13))
Element 29: (2, (14, 13), ['', '', '%', 'G'], [(17, 8), (13, 12), (15, 13)], [False, False, True, False], 42, False, [False, False, False, False], 3781, 'South', (14, 12))
Element 30: (2, (14, 12), ['', '', '', 'G'], [(17, 7), (13, 11), (15, 12)], [False, False, False, False], 40, False, [False, False, False, False], 3790, 'South', (14, 11))
Element 31: (2, (14, 11), ['', '', '', 'G'], [(16, 7), (13, 10), (15, 11)], [False, False, False, False], 38, False, [False, False, False, False], 3799, 'South', (14, 10))
Element 32: (2, (14, 10), ['', '', '', 'G'], [(16, 8), (12, 10), (15, 10)], [False, False, False, False], 36, False, [False, False, False, False], 3808, 'South', (14, 9))
Element 33: (2, (14, 9), ['', '', '', 'G'], [(16, 9), (12, 11), (15, 9)], [False, False, False, False], 34, False, [False, False, False, False], 3817, 'South', (14, 8))
Element 34: (2, (14, 8), ['', '', 'G', ''], [(16, 10), (11, 11), (14, 9)], [False, False, False, False], 32, False, [False, False, False, False], 3826, 'East', (15, 8))
Element 35: (2, (15, 8), ['', '%', '', ''], [(16, 11), (11, 10), (14, 10)], [False, True, False, False], 30, False, [False, False, False, False], 3835, 'West', (14, 8))
Element 36: (2, (14, 8), ['', '', '', ''], [(16, 12), (11, 9), (14, 11)], [False, False, False, False], 28, False, [False, False, False, False], 3844, 'South', (14, 7))
Element 37: (2, (14, 7), ['', '', '', '%'], [(17, 12), (12, 9), (14, 12)], [False, False, False, True], 26, False, [False, False, False, False], 3853, 'South', (14, 6))
Element 38: (2, (14, 6), ['%', '', '', ''], [(17, 13), (12, 8), (14, 13)], [True, False, False, False], 24, False, [False, False, False, False], 3862, 'North', (14, 7))
Element 39: (2, (14, 7), ['', '', '', '%'], [(18, 13), (12, 9), (13, 13)], [False, False, False, True], 22, False, [False, False, False, False], 3861, 'West', (13, 7))
Element 40: (2, (13, 7), ['', '%', '', ''], [(17, 13), (11, 9), (12, 13)], [False, True, False, False], 20, False, [False, False, False, False], 3870, 'North', (13, 8))
Element 41: (2, (13, 8), ['', '', '', ''], [(16, 13), (10, 9), (11, 13)], [False, False, False, False], 18, False, [False, False, False, False], 3889, 'North', (13, 9))
Element 42: (2, (13, 9), ['', '', '', ''], [(15, 13), (10, 10), (10, 13)], [False, False, False, False], 16, False, [False, False, False, False], 3908, 'North', (13, 10))
Element 43: (2, (13, 10), ['', '', '', ''], [(15, 12), (10, 11), (10, 12)], [False, False, False, False], 14, False, [False, False, False, False], 3927, 'North', (13, 11))
Element 44: (2, (13, 11), ['', '', '', ''], [(15, 11), (9, 11), (9, 12)], [False, False, False, False], 12, False, [False, False, False, False], 3946, 'North', (13, 12))
Element 45: (2, (13, 12), ['%', '', '', ''], [(15, 10), (9, 10), (9, 13)], [True, False, False, False], 10, False, [False, False, False, False], 3965, 'North', (13, 13))
Element 46: (2, (13, 13), ['', '', '%', ''], [(15, 9), (9, 9), (8, 13)], [False, False, True, False], 8, False, [False, False, False, False], 3984, 'West', (12, 13))
Element 47: (2, (12, 13), ['', '%', '%', ''], [(15, 8), (8, 9), (8, 12)], [False, True, True, False], 6, False, [False, False, False, False], 4993, 'West', (11, 13))
Element 48: (2, (11, 13), ['', '%', '%', ''], [(14, 8), (8, 10), (8, 11)], [False, True, True, False], 4, False, [False, False, False, False], 5012, 'West', (10, 13))
Element 49: (2, (10, 13), ['', '', '%', ''], [(14, 9), (7, 10), (7, 11)], [False, False, True, False], 2, False, [False, False, False, False], 5031, 'South', (10, 12))
Element 50: (2, (10, 12), ['', '', '', '%'], [(14, 9), (7, 10), (7, 12)], [False, False, False, True], 0, False, [False, False, False, False], 5040, 'Stop', (10, 12))
Element 51: #0#
