Element 42: (2, (9, 13), ['.', '', '%', ''], [(12, 3), (16, 12), (17, 1)], [False, False, True, False], 16, False, [True, False, False, False], 5018, 'West', (8, 13))
Element 43: (2, (8, 13), ['.', '.', '%', ''], [(11, 3), (17, 12), (16, 1)], [False, False, True, False], 14, False, [True, True, False, False], 5027, 'South', (8, 12))
Element 44: (2, (8, 12), ['.', '.', '', ''], [(10, 3), (17, 13), (15, 1)], [False, False, False, False], 12, False, [True, True, False, False], 5036, 'South', (8, 11))
Element 45: (2, (8, 11), ['.', '', '', ''], [(9, 3), (18, 13), (14, 1)], [False, False, False, False], 10, False, [True, False, False, False], 5045, 'West', (7, 11))
Element 46: (2, (7, 11), ['.', '.', '.', ''], [(8, 3), (17, 13), (13, 1)], [False, False, False, False], 8, False, [True, True, True, False], 5054, 'North', (7, 12))
Element 47: (2, (7, 12), ['.', '', '.', ''], [(8, 4), (16, 13), (12, 1)], [False, False, False, False], 6, False, [True, False, True, False], 5063, 'North', (7, 13))
Element 48: (2, (7, 13), ['.', '', '%', ''], [(7, 4), (15, 13), (11, 1)], [False, False, True, False], 4, False, [True, False, False, False], 5072, 'West', (6, 13))
Element 49: (2, (6, 13), ['.', '.', '%', ''], [(7, 5), (15, 12), (10, 1)], [False, False, True, False], 2, False, [True, True, False, False], 5081, 'South', (6, 12))
Element 50: (2, (6, 12), ['.', '.', '', ''], [(7, 5), (15, 12), (9, 1)], [False, False, False, False], 0, False, [True, True, False, False], 5090, 'Stop', (6, 12))
Element 51: #0#
