Element 1: (3, (10, 12), ['F', '.', '%', '.'], [(7, 10), (2, 10), (5, 11)], [False, False, True, False], 98, False, [False, True, False, True], 29, 'West', (9, 12))
Element 32: (3, (16, 9), ['', '%', '%', ''], [(14, 6), (15, 12), (13, 6)], [False, True, True, False], 36, False, [False, False, False, False], 2558, 'West', (15, 9))
Element 33: (3, (15, 9), ['', '%', '', ''], [(15, 6), (14, 12), (13, 5)], [False, True, False, False], 34, False, [False, False, False, False], 2567, 'North', (15, 10))
Element 34: (3, (15, 10), ['', '', '%', '%'], [(16, 6), (13, 12), (12, 5)], [False, False, True, True], 32, False, [False, False, False, False], 2576, 'West', (14, 10))
Element 35: (3, (14, 10), ['', '', '%', ''], [(17, 6), (12, 12), (12, 6)], [False, False, True, False], 30, False, [False, False, False, False], 2585, 'South', (14, 9))
Element 36: (3, (14, 9), ['', '', '', ''], [(17, 7), (12, 13), (12, 7)], [False, False, False, False], 28, False, [False, False, False, False], 2594, 'South', (14, 8))
Element 37: (3, (14, 8), ['', '', '', '%'], [(16, 7), (13, 13), (12, 8)], [False, False, False, True], 26, False, [False, False, False, False], 2603, 'South', (14, 7))
Element 38: (3, (14, 7), ['', '', '', ''], [(16, 6), (14, 13), (12, 9)], [False, False, False, False], 24, False, [False, False, False, False], 2612, 'East', (15, 7))
Element 39: (3, (15, 7), ['', '', '%', 'G'], [(16, 7), (15, 13), (11, 9)], [False, False, True, False], 22, False, [False, False, False, False], 2621, 'South', (15, 6))
Element 40: (3, (15, 6), ['', '%', 'G', ''], [(15, 7), (16, 13), (11, 10)], [False, True, False, False], 20, False, [False, False, False, False], 2620, 'East', (16, 6))
Element 41: (3, (16, 6), ['G', '%', '', ''], [(15, 6), (15, 13), (12, 10)], [False, True, False, False], 18, False, [False, False, False, False], 2619, 'East', (17, 6))
Element 42: (3, (17, 6), ['', '%', '', '%'], [(15, 7), (14, 13), (13, 10)], [False, True, False, True], 16, False, [False, False, False, False], 2618, 'North', (17, 7))
Element 43: (3, (17, 7), ['', '', '%', ''], [(14, 7), (13, 13), (13, 11)], [False, False, True, False], 14, False, [False, False, False, False], 2617, 'East', (18, 7))
Element 44: (3, (18, 7), ['', '%', '%', '%'], [(14, 6), (12, 13), (13, 12)], [False, True, True, True], 12, False, [False, False, False, False], 2616, 'West', (17, 7))
Element 45: (3, (17, 7), ['', '', '%', ''], [(14, 7), (12, 12), (13, 11)], [False, False, True, False], 10, False, [False, False, False, False], 2615, 'West', (16, 7))
Element 46: (3, (16, 7), ['', '', '%', ''], [(13, 7), (11, 12), (12, 11)], [False, False, True, False], 8, False, [False, False, False, False], 2614, 'East', (17, 7))
Element 47: (3, (17, 7), ['', '', '%', ''], [(13, 8), (10, 12), (13, 11)], [False, False, True, False], 6, False, [False, False, False, False], 2613, 'South', (17, 6))
Element 48: (3, (17, 6), ['', '%', '', '%'], [(13, 9), (9, 12), (13, 10)], [False, True, False, True], 4, False, [False, False, False, False], 2612, 'West', (16, 6))
Element 49: (3, (16, 6), ['', '%', '', ''], [(12, 9), (10, 12), (12, 10)], [False, True, False, False], 2, False, [False, False, False, False], 2611, 'North', (16, 7))
Element 50: (3, (16, 7), ['', '', '%', ''], [(12, 9), (10, 12), (12, 10)], [False, False, True, False], 0, False, [False, False, False, False], 2610, 'Stop', (16, 7))
Element 51: #0#
