Element 30: (2, (15, 12), ['', '%', '', ''], [(16, 9), (12, 13), (18, 11)], [False, True, False, False], 40, False, [False, False, False, False], 4540, 'West', (14, 12))
Element 31: (2, (14, 12), ['', '%', '', ''], [(15, 9), (12, 12), (18, 11)], [False, True, False, False], 38, False, [False, False, False, False], 4539, 'North', (14, 13))
Element 32: (2, (14, 13), ['', '', '%', ''], [(14, 9), (11, 12), (18, 11)], [False, False, True, False], 36, False, [False, False, False, False], 4538, 'South', (14, 12))
Element 33: (2, (14, 12), ['', '%', '', ''], [(14, 8), (11, 11), (18, 11)], [False, True, False, False], 34, False, [False, False, False, False], 4547, 'West', (13, 12))
Element 34: (2, (13, 12), ['', '', '', ''], [(14, 7), (10, 11), (18, 11)], [False, False, False, False], 32, False, [False, False, False, False], 4556, 'North', (13, 13))
Element 35: (2, (13, 13), ['', '', '%', ''], [(14, 6), (10, 12), (17, 11)], [False, False, True, False], 30, False, [False, False, False, False], 4565, 'South', (13, 12))
Element 36: (2, (13, 12), ['', '', '', ''], [(13, 6), (9, 12), (17, 10)], [False, False, False, False], 28, False, [False, False, False, False], 4574, 'South', (13, 11))
Element 37: (2, (13, 11), ['', '', '', '%'], [(13, 5), (9, 11), (17, 9)], [False, False, False, True], 26, False, [False, False, False, False], 4583, 'South', (13, 10))
Element 38: (2, (13, 10), ['', '', '', ''], [(12, 5), (8, 11), (17, 9)], [False, False, False, False], 24, False, [False, False, False, False], 4592, 'East', (14, 10))
Element 39: (2, (14, 10), ['', '', '%', ''], [(12, 6), (9, 11), (17, 9)], [False, False, True, False], 22, False, [False, False, False, False], 4601, 'East', (15, 10))
Element 40: (2, (15, 10), ['', '', '%', '%'], [(11, 6), (9, 12), (17, 9)], [False, False, True, True], 20, False, [False, False, False, False], 4610, 'South', (15, 9))
Element 41: (2, (15, 9), ['', '%', '', ''], [(11, 5), (10, 12), (17, 9)], [False, True, False, False], 18, False, [False, False, False, False], 4619, 'East', (16, 9))
