Element 1: (2, (16, 7), ['.', '.', '%', 'G'], [(15, 12), (12, 2), (17, 7)], [False, False, True, False], 98, False, [True, True, False, False], 19, 'South', (16, 6))
Element 33: (2, (11, 10), ['.', '.', '', ''], [(13, 8), (11, 3), (15, 9)], [False, False, False, False], 34, False, [True, True, False, False], 567, 'South', (11, 9))
Element 34: (2, (11, 9), ['%', '%', '', ''], [(13, 9), (12, 3), (15, 10)], [True, True, False, False], 32, False, [False, False, False, False], 576, 'East', (12, 9))
Element 35: (2, (12, 9), ['', '', '', ''], [(13, 8), (12, 2), (14, 10)], [False, False, False, False], 30, False, [False, False, False, False], 575, 'East', (13, 9))
Element 36: (2, (13, 9), ['', '', '', 'G'], [(13, 7), (12, 1), (14, 9)], [False, False, False, False], 28, False, [False, False, False, False], 574, 'North', (13, 10))
Element 37: (2, (13, 10), ['', '', '', ''], [(13, 8), (12, 2), (14, 8)], [False, False, False, False], 26, False, [False, False, False, False], 573, 'East', (14, 10))
Element 38: (2, (14, 10), ['', '', '%', ''], [(12, 8), (11, 2), (14, 7)], [False, False, True, False], 24, False, [False, False, False, False], 572, 'East', (15, 10))
Element 39: (2, (15, 10), ['', '', '%', '%'], [(12, 9), (11, 3), (14, 8)], [False, False, True, True], 22, False, [False, False, False, False], 571, 'West', (14, 10))
Element 40: (2, (14, 10), ['', 'G', '%', ''], [(12, 10), (11, 2), (14, 9)], [False, False, True, False], 20, False, [False, False, False, False], 570, 'West', (13, 10))
Element 41: (2, (13, 10), ['', '', '', 'G'], [(12, 11), (11, 1), (14, 10)], [False, False, False, False], 18, False, [False, False, False, False], 569, 'North', (13, 11))
Element 42: (2, (13, 11), ['', 'G', '', '%'], [(12, 12), (11, 2), (13, 10)], [False, False, False, True], 16, False, [False, False, False, False], 568, 'West', (12, 11))
Element 43: (2, (12, 11), ['', '', '', 'G'], [(12, 13), (10, 2), (13, 11)], [False, False, False, False], 14, False, [False, False, False, False], 567, 'South', (12, 10))
Element 44: (2, (12, 10), ['', '', '', ''], [(12, 12), (11, 2), (13, 12)], [False, False, False, False], 12, False, [False, False, False, False], 566, 'North', (12, 11))
Element 45: (2, (12, 11), ['', '', '', ''], [(11, 12), (11, 2), (14, 12)], [False, False, False, False], 10, False, [False, False, False, False], 565, 'East', (13, 11))
Element 46: (2, (13, 11), ['', '', '', '%'], [(10, 12), (12, 2), (15, 12)], [False, False, False, True], 8, False, [False, False, False, False], 574, 'South', (13, 10))
Element 47: (2, (13, 10), ['', '', '', ''], [(9, 12), (13, 2), (14, 12)], [False, False, False, False], 6, False, [False, False, False, False], 1573, 'West', (12, 10))
Element 48: (2, (12, 10), ['', '', '', ''], [(9, 11), (14, 2), (13, 12)], [False, False, False, False], 4, False, [False, False, False, False], 1582, 'East', (13, 10))
Element 49: (2, (13, 10), ['', '', 'G', ''], [(8, 11), (15, 2), (13, 11)], [False, False, False, False], 2, False, [False, False, False, False], 2581, 'South', (13, 9))
Element 50: (2, (13, 9), ['', '', 'G', ''], [(8, 11), (15, 2), (13, 10)], [False, False, False, False], 0, False, [False, False, False, False], 2580, 'Stop', (13, 9))
Element 51: #0#
