Element 33: (1, (2, 2), ['', '', '', ''], [(16, 9), (17, 10), (12, 2)], [False, False, False, False], 34, False, [False, False, False, False], 3877, 'North', (2, 3))
Element 34: (1, (2, 3), ['%', '', '', ''], [(15, 9), (17, 9), (11, 2)], [True, False, False, False], 32, False, [False, False, False, False], 3876, 'East', (3, 3))
Element 35: (1, (3, 3), ['', '', '', ''], [(16, 9), (18, 9), (12, 2)], [False, False, False, False], 30, False, [False, False, False, False], 3875, 'South', (3, 2))
Element 36: (1, (3, 2), ['', '', '', ''], [(15, 9), (17, 9), (12, 3)], [False, False, False, False], 28, False, [False, False, False, False], 3874, 'West', (2, 2))
Element 37: (1, (2, 2), ['', '', '', ''], [(15, 10), (16, 9), (11, 3)], [False, False, False, False], 26, False, [False, False, False, False], 3883, 'East', (3, 2))
Element 38: (1, (3, 2), ['', '', '', ''], [(14, 10), (15, 9), (11, 2)], [False, False, False, False], 24, False, [False, False, False, False], 3892, 'South', (3, 1))
Element 39: (1, (3, 1), ['', '%', '', ''], [(13, 10), (15, 10), (11, 3)], [False, True, False, False], 22, False, [False, False, False, False], 3901, 'West', (2, 1))
Element 40: (1, (2, 1), ['', '%', '', ''], [(13, 11), (14, 10), (10, 3)], [False, True, False, False], 20, False, [False, False, False, False], 3910, 'East', (3, 1))
Element 41: (1, (3, 1), ['', '%', '', ''], [(12, 11), (14, 9), (10, 2)], [False, True, False, False], 18, False, [False, False, False, False], 3919, 'East', (4, 1))
Element 42: (1, (4, 1), ['', '%', '', ''], [(12, 10), (13, 9), (10, 3)], [False, True, False, False], 16, False, [False, False, False, False], 3938, 'North', (4, 2))
Element 43: (1, (4, 2), ['', '', '', ''], [(12, 9), (13, 8), (9, 3)], [False, False, False, False], 14, False, [False, False, False, False], 3957, 'West', (3, 2))
Element 44: (1, (3, 2), ['', '', '', ''], [(12, 8), (13, 7), (9, 2)], [False, False, False, False], 12, False, [False, False, False, False], 3976, 'East', (4, 2))
Element 45: (1, (4, 2), ['', '', '', ''], [(13, 8), (12, 7), (9, 3)], [False, False, False, False], 10, False, [False, False, False, False], 3985, 'North', (4, 3))
Element 46: (1, (4, 3), ['', '', '%', ''], [(13, 9), (11, 7), (9, 3)], [False, False, True, False], 8, False, [False, False, False, False], 3994, 'West', (3, 3))
Element 47: (1, (3, 3), ['', '', '', ''], [(13, 8), (10, 7), (10, 3)], [False, False, False, False], 6, False, [False, False, False, False], 4003, 'East', (4, 3))
Element 48: (1, (4, 3), ['', '', '%', ''], [(13, 7), (10, 8), (11, 3)], [False, False, True, False], 4, False, [False, False, False, False], 5002, 'East', (5, 3))
Element 49: (1, (5, 3), ['', '', '%', ''], [(12, 7), (9, 8), (12, 3)], [False, False, True, False], 2, False, [False, False, False, False], 5011, 'South', (5, 2))
Element 50: (1, (5, 2), ['', '', '', ''], [(12, 7), (9, 7), (12, 2)], [False, False, False, False], 0, False, [False, False, False, False], 5020, 'Stop', (5, 2))
Element 51: #0#
