Element 1: (0, (18, 5), ['%', '%', '.', '%'], [(3, 2), (6, 7), (15, 9)], [True, True, False, True], 98, False, [False, False, True, False], 0, 'North', (18, 6))
Element 29: (0, (11, 10), ['', '%', '%', ''], [(9, 10), (13, 6), (17, 1)], [False, True, True, False], 42, False, [False, False, False, False], 3572, 'West', (10, 10))
Element 30: (0, (10, 10), ['', '%', '%', ''], [(8, 10), (13, 5), (16, 1)], [False, True, True, False], 40, False, [False, False, False, False], 3591, 'West', (9, 10))
Element 31: (0, (9, 10), ['', '%', '%', ''], [(7, 10), (13, 4), (15, 1)], [False, True, True, False], 38, False, [False, False, False, False], 3610, 'West', (8, 10))
Element 32: (0, (8, 10), ['', '%', '%', ''], [(6, 10), (14, 4), (16, 1)], [False, True, True, False], 36, False, [False, False, False, False], 3619, 'West', (7, 10))
Element 33: (0, (7, 10), ['', '%', '%', ''], [(6, 9), (15, 4), (17, 1)], [False, True, True, False], 34, False, [False, False, False, False], 3618, 'West', (6, 10))
Element 34: (0, (6, 10), ['%', '', '%', ''], [(6, 8), (16, 4), (17, 2)], [True, False, True, False], 32, False, [False, False, False, False], 3617, 'South', (6, 9))
Element 35: (0, (6, 9), ['%', '', '', '%'], [(7, 8), (17, 4), (18, 2)], [True, False, False, True], 30, False, [False, False, False, False], 3616, 'South', (6, 8))
Element 36: (0, (6, 8), ['', '', '', ''], [(8, 8), (16, 4), (17, 2)], [False, False, False, False], 28, False, [False, False, False, False], 3615, 'East', (7, 8))
Element 37: (0, (7, 8), ['', '%', '%', ''], [(9, 8), (16, 5), (16, 2)], [False, True, True, False], 26, False, [False, False, False, False], 3614, 'East', (8, 8))
Element 38: (0, (8, 8), ['', '%', '%', ''], [(10, 8), (16, 4), (16, 1)], [False, True, True, False], 24, False, [False, False, False, False], 3613, 'East', (9, 8))
Element 39: (0, (9, 8), ['', '', '%', ''], [(11, 8), (15, 4), (16, 2)], [False, False, True, False], 22, False, [False, False, False, False], 3612, 'East', (10, 8))
Element 40: (0, (10, 8), ['', '', '%', ''], [(12, 8), (15, 3), (15, 2)], [False, False, True, False], 20, False, [False, False, False, False], 3611, 'East', (11, 8))
Element 41: (0, (11, 8), ['', '%', '%', ''], [(13, 8), (15, 4), (15, 1)], [False, True, True, False], 18, False, [False, False, False, False], 3610, 'East', (12, 8))
Element 42: (0, (12, 8), ['', '%', '%', ''], [(14, 8), (14, 4), (15, 2)], [False, True, True, False], 16, False, [False, False, False, False], 3609, 'West', (11, 8))
Element 43: (0, (11, 8), ['', '%', '%', ''], [(15, 8), (13, 4), (15, 3)], [False, True, True, False], 14, False, [False, False, False, False], 3608, 'West', (10, 8))
Element 44: (0, (10, 8), ['', '', '%', ''], [(16, 8), (13, 3), (15, 4)], [False, False, True, False], 12, False, [False, False, False, False], 3617, 'South', (10, 7))
Element 45: (0, (10, 7), ['', '', '', '%'], [(16, 7), (13, 2), (14, 4)], [False, False, False, True], 10, False, [False, False, False, False], 3626, 'South', (10, 6))
Element 46: (0, (10, 6), ['', '%', '', '.'], [(16, 6), (13, 1), (13, 4)], [False, True, False, False], 8, False, [False, False, False, True], 3635, 'East', (11, 6))
Element 47: (0, (11, 6), ['', '%', '%', '%'], [(17, 6), (12, 1), (12, 4)], [False, True, True, True], 6, False, [False, False, False, False], 3664, 'West', (10, 6))
Element 48: #1#
