Element 1: (3, (18, 5), ['%', '%', '.', '%'], [(4, 10), (3, 2), (13, 10)], [True, True, False, True], 98, False, [False, False, True, False], 29, 'North', (18, 6))
Element 19: (3, (17, 4), ['', '%', '%', '%'], [(14, 6), (13, 8), (13, 6)], [False, True, True, True], 62, False, [False, False, False, False], 3491, 'West', (16, 4))
Element 20: (3, (16, 4), ['.', '%', '', ''], [(15, 6), (14, 8), (13, 5)], [False, True, False, False], 60, False, [True, False, False, False], 3500, 'West', (15, 4))
Element 21: (3, (15, 4), ['.', '.', '%', ''], [(16, 6), (15, 8), (13, 4)], [False, False, True, False], 58, False, [True, True, False, False], 3519, 'South', (15, 3))
Element 22: (3, (15, 3), ['%', '.', '', '%'], [(17, 6), (16, 8), (14, 4)], [True, False, False, True], 56, False, [False, True, False, False], 3538, 'South', (15, 2))
Element 23: (3, (15, 2), ['%', '.', '', '.'], [(18, 6), (16, 7), (15, 4)], [True, False, False, False], 54, False, [False, True, False, True], 3547, 'East', (16, 2))
Element 24: (3, (16, 2), ['', '.', '%', '.'], [(18, 7), (16, 6), (16, 4)], [False, False, True, False], 52, False, [False, True, False, True], 3556, 'East', (17, 2))
Element 25: (3, (17, 2), ['', '.', '%', ''], [(18, 8), (17, 6), (17, 4)], [False, False, True, False], 50, False, [False, True, False, False], 3565, 'South', (17, 1))
Element 26: (3, (17, 1), ['.', '%', '', '.'], [(18, 9), (18, 6), (16, 4)], [False, True, False, False], 48, False, [True, False, False, True], 3574, 'East', (18, 1))
Element 27: (3, (18, 1), ['', '%', '', '%'], [(18, 10), (18, 7), (16, 5)], [False, True, False, True], 46, False, [False, False, False, False], 3583, 'North', (18, 2))
Element 28: (3, (18, 2), ['', '', '.', '%'], [(17, 10), (18, 8), (16, 6)], [False, False, False, True], 44, False, [False, False, True, False], 3582, 'North', (18, 3))
Element 29: (3, (18, 3), ['%', '', '%', '%'], [(16, 10), (18, 9), (17, 6)], [True, False, True, True], 42, False, [False, False, False, False], 3591, 'South', (18, 2))
Element 30: (3, (18, 2), ['', '', '', '%'], [(15, 10), (18, 10), (18, 6)], [False, False, False, True], 40, False, [False, False, False, False], 3590, 'South', (18, 1))
Element 31: (3, (18, 1), ['', '%', '', '%'], [(15, 9), (17, 10), (18, 7)], [False, True, False, True], 38, False, [False, False, False, False], 3589, 'West', (17, 1))
Element 32: (3, (17, 1), ['.', '%', '', ''], [(15, 10), (16, 10), (18, 8)], [False, True, False, False], 36, False, [True, False, False, False], 3588, 'West', (16, 1))
Element 33: (3, (16, 1), ['.', '%', '', ''], [(15, 9), (15, 10), (18, 9)], [False, True, False, False], 34, False, [True, False, False, False], 3597, 'West', (15, 1))
Element 34: (3, (15, 1), ['%', '%', '', ''], [(15, 10), (15, 9), (18, 10)], [True, True, False, False], 32, False, [False, False, False, False], 3606, 'East', (16, 1))
Element 35: (3, (16, 1), ['', '%', '', ''], [(16, 10), (15, 10), (17, 10)], [False, True, False, False], 30, False, [False, False, False, False], 3605, 'East', (17, 1))
Element 36: (3, (17, 1), ['', '%', '', ''], [(16, 10), (15, 9), (18, 10)], [False, True, False, False], 28, False, [False, False, False, False], 3604, 'North', (17, 2))
Element 37: (3, (17, 2), ['', '', '%', ''], [(16, 10), (15, 10), (18, 9)], [False, False, True, False], 26, False, [False, False, False, False], 3603, 'East', (18, 2))
Element 38: (3, (18, 2), ['', '', '', '%'], [(16, 10), (16, 10), (18, 8)], [False, False, False, True], 24, False, [False, False, False, False], 3602, 'West', (17, 2))
Element 39: (3, (17, 2), ['', '', '%', ''], [(16, 10), (16, 10), (18, 7)], [False, False, True, False], 22, False, [False, False, False, False], 3601, 'West', (16, 2))
Element 40: (3, (16, 2), ['', '', '%', ''], [(16, 10), (16, 10), (18, 6)], [False, False, True, False], 20, False, [False, False, False, False], 3600, 'South', (16, 1))
Element 41: (3, (16, 1), ['', '%', '', ''], [(15, 10), (16, 10), (18, 5)], [False, True, False, False], 18, False, [False, False, False, False], 3599, 'North', (16, 2))
Element 42: (3, (16, 2), ['', '', '%', ''], [(15, 9), (16, 10), (18, 6)], [False, False, True, False], 16, False, [False, False, False, False], 3598, 'West', (15, 2))
Element 43: (3, (15, 2), ['%', '', '', ''], [(15, 8), (16, 10), (17, 6)], [True, False, False, False], 14, False, [False, False, False, False], 3597, 'South', (15, 1))
Element 44: (3, (15, 1), ['%', '%', '', ''], [(15, 8), (16, 10), (16, 6)], [True, True, False, False], 12, False, [False, False, False, False], 3596, 'North', (15, 2))
Element 45: (3, (15, 2), ['%', '', '', ''], [(14, 8), (16, 10), (16, 7)], [True, False, False, False], 10, False, [False, False, False, False], 3595, 'North', (15, 3))
Element 46: (3, (15, 3), ['%', '', '', '%'], [(13, 8), (16, 10), (16, 8)], [True, False, False, True], 8, False, [False, False, False, False], 3594, 'North', (15, 4))
Element 47: (3, (15, 4), ['', '', '%', ''], [(12, 8), (16, 10), (15, 8)], [False, False, True, False], 6, False, [False, False, False, False], 3593, 'West', (14, 4))
Element 48: (3, (14, 4), ['', '%', '%', ''], [(11, 8), (16, 10), (15, 9)], [False, True, True, False], 4, False, [False, False, False, False], 3592, 'West', (13, 4))
Element 49: (3, (13, 4), ['.', '.', '', ''], [(10, 8), (16, 10), (15, 10)], [False, False, False, False], 2, False, [True, True, False, False], 3591, 'South', (13, 3))
Element 50: (3, (13, 3), ['%', '.', '', '%'], [(10, 8), (16, 10), (15, 10)], [True, False, False, True], 0, False, [False, True, False, False], 3600, 'Stop', (13, 3))
Element 51: #0#
